"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Cooper Kupp","LAR","123.1","1,598.5","12.4","4.1","23.9","0.1","0.6","235.9"
"Ja'Marr Chase","CIN","91.7","1,413.5","10.5","8.5","50.0","0.2","0.6","208.9"
"Justin Jefferson","MIN","102.8","1,497.8","9.5","3.1","16.0","0.0","0.6","207.5"
"Deebo Samuel","SF","70.7","1,054.1","6.1","66.3","376.8","4.5","0.7","205.4"
"Davante Adams","LV","106.8","1,326.6","9.3","0.0","0.0","0.0","0.5","187.5"
"Stefon Diggs","BUF","101.6","1,254.1","8.9","0.2","2.0","0.0","0.5","177.8"
"Mike Evans","TB","82.2","1,132.9","10.1","0.2","1.4","0.0","0.5","173.4"
"CeeDee Lamb","DAL","91.1","1,236.2","7.6","6.0","44.9","0.1","0.5","173.2"
"Tyreek Hill","MIA","93.1","1,164.4","8.2","8.8","62.1","0.3","0.5","172.5"
"Tee Higgins","CIN","85.1","1,187.3","7.8","0.2","0.8","0.0","0.5","164.5"
"A.J. Brown","PHI","78.2","1,143.0","8.1","0.8","7.6","0.0","0.5","162.9"
"Mike Williams","LAC","74.7","1,098.0","8.0","0.0","0.2","0.0","0.4","156.8"
"Michael Pittman Jr.","IND","91.6","1,132.1","6.7","4.7","34.7","0.1","0.6","156.5"
"DJ Moore","CAR","86.1","1,134.8","5.6","5.6","37.9","0.1","0.6","150.4"
"Keenan Allen","LAC","99.9","1,089.5","6.9","0.4","1.8","0.0","0.5","149.6"
"Gabriel Davis","BUF","61.8","967.8","8.8","0.0","0.0","0.0","0.1","149.6"
"Brandin Cooks","HOU","92.4","1,105.9","6.1","2.6","18.5","0.1","0.5","148.6"
"DK Metcalf","SEA","78.3","1,047.8","6.8","0.4","2.2","0.0","0.6","144.9"
"Diontae Johnson","PIT","95.3","1,051.1","6.1","4.2","31.6","0.1","1.0","143.1"
"Chris Godwin","TB","87.3","1,008.5","6.7","2.2","12.1","0.3","0.9","142.2"
"Terry McLaurin","WAS","78.5","1,068.8","5.8","0.4","4.6","0.0","0.4","141.4"
"Courtland Sutton","DEN","70.8","1,004.4","6.8","0.2","0.6","0.0","0.5","140.6"
"Jaylen Waddle","MIA","88.8","993.5","6.1","3.3","19.1","0.3","0.6","138.8"
"Amon-Ra St. Brown","DET","87.6","955.1","6.0","6.6","46.6","0.4","0.5","137.3"
"Jerry Jeudy","DEN","75.4","1,024.8","5.9","1.2","5.5","0.0","0.6","137.2"
"Michael Thomas","NO","85.1","988.0","6.5","0.2","-0.8","0.0","0.5","136.4"
"Marquise Brown","ARI","79.1","998.4","6.0","2.0","12.9","0.1","0.6","136.1"
"Darnell Mooney","CHI","78.4","1,034.9","4.8","5.0","26.1","0.2","0.5","135.6"
"Elijah Moore","NYJ","70.3","910.5","6.0","6.2","50.8","0.5","0.5","134.2"
"Tyler Lockett","SEA","73.7","982.5","5.6","2.1","11.9","0.1","0.5","132.3"
"Adam Thielen","MIN","73.6","831.5","7.8","0.4","1.2","0.0","0.5","129.0"
"Allen Robinson II","LAR","75.7","925.0","6.1","0.0","0.0","0.0","0.5","128.1"
"Amari Cooper","CLE","75.2","943.3","5.7","0.2","0.6","0.0","0.5","127.5"
"JuJu Smith-Schuster","KC","78.2","849.4","6.6","2.3","11.5","0.5","0.5","127.1"
"Hunter Renfrow","LV","83.4","891.4","6.4","1.2","5.0","0.0","0.7","126.9"
"Robert Woods","TEN","73.7","874.1","5.0","8.9","61.2","0.7","0.5","126.7"
"Rashod Bateman","BAL","74.2","939.3","5.2","0.2","2.2","0.0","0.5","124.2"
"DeVonta Smith","PHI","63.4","871.2","5.7","0.0","0.0","0.0","0.5","120.3"
"Christian Kirk","JAC","74.6","912.7","4.8","0.8","5.8","0.0","0.5","119.5"
"Chase Claypool","PIT","63.9","854.5","4.6","8.6","52.3","0.2","0.5","118.4"
"Brandon Aiyuk","SF","62.0","842.5","5.5","2.9","17.5","0.0","0.5","118.1"
"Allen Lazard","GB","57.1","769.0","6.7","1.4","12.3","0.0","0.4","117.6"
"Drake London","ATL","66.0","869.8","4.8","0.8","4.2","0.0","0.8","114.4"
"Treylon Burks","TEN","56.9","807.8","4.9","4.0","25.8","0.3","0.8","112.6"
"DeAndre Hopkins","ARI","61.9","774.1","5.7","0.0","0.4","0.0","0.7","109.9"
"Marquez Valdes-Scantling","KC","47.5","775.0","5.1","0.6","3.2","0.0","0.1","108.3"
"Mecole Hardman","KC","57.7","726.0","4.6","8.4","59.0","0.4","1.0","106.6"
"Kadarius Toney","NYG","65.2","760.8","4.1","8.8","59.6","0.1","0.5","106.2"
"Jakobi Meyers","NE","73.7","830.3","3.8","0.4","2.8","0.0","0.5","105.1"
"DeVante Parker","NE","57.4","765.8","4.8","0.0","0.0","0.0","0.4","104.3"
"Michael Gallup","DAL","51.1","719.9","4.9","2.0","14.2","0.0","0.4","101.7"
"Kenny Golladay","NYG","54.4","770.2","4.2","0.0","0.0","0.0","0.4","101.4"
"Russell Gage","TB","62.3","714.8","5.1","0.2","0.8","0.0","0.9","100.5"
"Tyler Boyd","CIN","63.4","732.7","4.2","2.7","19.0","0.0","0.5","99.4"
"Marvin Jones Jr.","JAC","58.1","704.6","4.9","0.0","0.0","0.0","0.4","99.2"
"Chris Olave","NO","50.2","716.9","4.6","0.4","2.2","0.0","0.5","98.5"
"Jarvis Landry","NO","57.8","694.5","4.2","3.0","16.5","0.3","0.6","96.6"
"Robbie Anderson","CAR","56.1","659.3","4.7","3.7","24.6","0.1","0.4","95.9"
"D.J. Chark Jr.","DET","47.4","673.2","4.7","0.2","1.6","0.0","0.1","95.2"
"Garrett Wilson","NYJ","52.4","716.3","3.9","1.8","13.2","0.0","0.8","94.6"
"Corey Davis","NYJ","48.7","687.5","4.2","0.0","0.0","0.0","0.5","93.1"
"Nico Collins","HOU","54.4","710.6","3.5","0.0","0.0","0.0","0.5","91.2"
"Jahan Dotson","WAS","52.5","693.4","3.7","0.4","2.2","0.0","0.8","90.4"
"George Pickens","PIT","55.5","692.9","3.7","0.4","1.8","0.0","0.8","90.3"
"Jalen Tolbert","DAL","48.2","634.0","4.3","0.4","2.4","0.0","0.8","87.7"
"Van Jefferson","LAR","45.0","617.3","4.0","1.8","15.0","0.0","0.1","87.2"
"Donovan Peoples-Jones","CLE","44.5","664.4","3.5","0.0","0.0","0.0","0.5","86.6"
"Skyy Moore","KC","44.4","596.7","4.2","1.2","7.8","0.0","0.8","84.0"
"Julio Jones","TB","46.7","627.0","3.7","0.0","0.0","0.0","0.4","84.0"
"Curtis Samuel","WAS","44.1","499.0","3.4","16.9","93.9","0.8","0.5","83.9"
"Rondale Moore","ARI","55.4","537.3","2.9","17.2","99.6","0.6","0.6","83.4"
"Parris Campbell","IND","49.1","598.1","3.7","0.5","3.3","0.0","0.1","82.1"
"K.J. Osborn","MIN","43.7","556.1","4.4","0.2","2.0","0.0","0.4","81.3"
"Sterling Shepard","NYG","59.7","619.8","3.1","1.0","4.2","0.0","0.5","80.2"
"Joshua Palmer","LAC","46.9","550.8","4.3","0.0","0.0","0.0","0.2","80.2"
"K.J. Hamler","DEN","43.2","563.8","3.3","3.1","20.6","0.0","0.1","78.2"
"Alec Pierce","IND","41.2","559.5","3.7","0.0","0.0","0.0","0.2","77.9"
"Randall Cobb","GB","41.7","532.7","4.1","0.8","3.2","0.0","0.5","77.7"
"Kendrick Bourne","NE","40.5","511.5","3.6","6.3","48.0","0.1","0.5","77.1"
"Nick Westbrook-Ikhine","TEN","39.3","491.8","3.5","0.0","0.0","0.0","0.4","69.5"
"Cedrick Wilson Jr.","MIA","41.7","502.9","3.4","0.6","1.6","0.0","0.5","69.5"
"Zay Jones","JAC","44.4","523.0","2.9","0.4","0.6","0.0","0.4","68.9"
"A.J. Green","ARI","36.8","528.7","2.7","0.0","0.0","0.0","0.1","68.7"
"Bryan Edwards","ATL","36.1","526.7","2.6","0.2","1.4","0.0","0.1","68.3"
"Wan'Dale Robinson","NYG","40.0","456.7","2.5","6.7","39.3","0.1","0.2","64.9"
"Romeo Doubs","GB","35.2","465.4","3.3","0.4","2.4","0.0","0.7","64.9"
"Isaiah McKenzie","BUF","41.5","417.3","3.0","6.8","40.3","0.3","0.3","64.8"
"Christian Watson","GB","32.9","441.2","3.3","1.5","9.1","0.0","0.4","64.4"
"Jameson Williams","DET","34.0","470.1","2.7","0.4","2.2","0.0","0.6","62.4"
"James Washington","DAL","28.2","416.0","3.4","0.5","3.0","0.0","0.0","62.3"
"Devin Duvernay","BAL","39.4","445.6","2.3","4.9","33.8","0.1","0.2","62.2"
"Sammy Watkins","GB","34.6","456.8","2.7","0.6","3.5","0.0","0.4","61.3"
"Byron Pringle","CHI","34.8","446.7","2.5","0.0","0.0","0.0","0.2","59.1"
"Jamison Crowder","BUF","38.5","402.2","2.7","2.2","14.0","0.2","0.4","58.3"
"Nelson Agholor","NE","30.9","424.0","2.5","1.5","7.5","0.0","0.1","58.1"
"Keelan Cole Sr.","LV","29.1","422.3","2.3","0.0","0.5","0.0","0.0","56.2"
"David Bell","CLE","33.3","412.5","2.3","1.2","8.8","0.0","0.4","54.9"
"Braxton Berrios","NYJ","35.3","356.1","1.9","5.2","31.6","0.9","0.5","54.5"
"Laviska Shenault Jr.","CAR","35.4","366.7","2.2","7.9","38.8","0.1","0.4","53.2"
"Olamide Zaccheaus","ATL","30.5","392.9","2.2","0.4","1.8","0.0","0.1","52.8"
"Velus Jones Jr.","CHI","29.9","385.3","2.2","1.0","6.3","0.0","0.2","52.0"
"Freddie Swain","MIA","29.5","374.3","2.4","0.0","0.0","0.0","0.0","51.7"
"Quez Watkins","PHI","28.4","391.5","2.1","0.0","0.0","0.0","0.1","51.4"
"Jauan Jennings","SF","29.0","329.9","2.7","0.0","0.0","0.0","0.1","48.8"
"Jalen Guyton","LAC","21.5","312.3","2.0","4.4","25.9","0.1","0.1","46.2"
"Dee Eskridge","SEA","24.8","314.8","1.6","4.4","28.8","0.1","0.2","44.4"
"Ty Montgomery","NE","14.8","133.1","0.8","29.1","170.4","1.4","0.0","43.3"
"Chris Conley","HOU","24.5","297.2","2.0","0.0","0.0","0.0","0.0","41.8"
"Josh Reynolds","DET","22.2","300.7","1.9","0.0","0.0","0.0","0.1","41.3"
"Terrace Marshall Jr.","CAR","23.7","293.6","1.9","0.0","0.0","0.0","0.1","40.9"
"Laquon Treadwell","NE","21.5","297.1","1.7","0.0","0.0","0.0","0.0","40.2"
"James Proche II","BAL","23.3","284.3","1.6","0.0","0.0","0.0","0.1","37.9"
"Mack Hollins","LV","19.8","258.0","2.0","0.2","0.0","0.0","0.1","37.7"
"Amari Rodgers","GB","21.4","280.0","1.6","1.5","9.4","0.0","0.4","37.6"
"Phillip Dorsett II","HOU","22.7","285.3","1.5","0.0","0.0","0.0","0.1","37.2"
"Marquez Callaway","NO","17.3","255.2","1.7","0.0","0.0","0.0","0.0","35.7"
"Jamal Agnew","JAC","16.3","188.1","1.0","8.3","57.7","0.4","0.1","32.2"
"Quintez Cephus","DET","14.6","201.4","1.7","0.0","0.0","0.0","0.0","30.1"
"Noah Brown","DAL","17.3","212.2","1.4","0.0","0.0","0.0","0.1","29.8"
"Darius Slayton","NYG","16.9","229.1","1.3","0.3","-2.5","0.0","0.5","29.7"
"Rashard Higgins","CAR","17.2","223.0","1.2","0.3","2.7","0.0","0.2","29.3"
"Tyler Johnson","HOU","19.9","216.5","1.2","0.0","0.0","0.0","0.1","28.8"
"Ben Skowronek","LAR","16.2","198.1","1.4","0.0","0.0","0.0","0.0","28.4"
"Jaylon Moore","JAC","16.8","202.8","1.3","0.0","0.0","0.0","0.0","28.2"
"Chris Moore","HOU","19.8","216.3","1.1","0.0","0.0","0.0","0.1","27.7"
"Demarcus Robinson","BAL","16.3","198.0","1.2","0.0","0.0","0.0","0.0","27.2"
"Dez Fitzpatrick","TEN","13.9","207.3","0.9","0.0","0.0","0.0","0.0","26.2"
"Marquise Goodwin","SEA","15.0","189.2","1.0","0.7","3.8","0.0","0.1","25.3"
"Equanimeous St. Brown","CHI","13.5","197.1","0.9","0.0","0.0","0.0","0.1","25.3"
"Keke Coutee","IND","12.3","184.3","1.1","0.0","0.0","0.0","0.0","24.9"
"Kyle Philips","TEN","15.3","188.3","1.0","0.0","0.0","0.0","0.1","24.6"
"Cody Hollister","TEN","14.5","171.1","1.2","0.0","0.0","0.0","0.0","24.2"
"Tutu Atwell","LAR","13.6","169.8","1.2","0.0","0.0","0.0","0.2","23.7"
"Anthony Schwartz","CLE","12.6","166.5","1.0","1.1","6.8","0.0","0.1","23.6"
"Zach Pascal","PHI","12.8","161.6","1.2","0.3","1.8","0.0","0.0","23.5"
"Montrell Washington","DEN","12.6","166.9","1.1","0.0","0.0","0.0","0.0","23.2"
"Damiere Byrd","ATL","14.9","177.0","0.9","0.0","0.0","0.0","0.0","23.2"
"Kalif Raymond","DET","13.4","162.0","1.1","0.9","5.2","0.0","0.1","23.2"
"Trent Sherfield","MIA","14.2","169.5","1.1","0.0","0.0","0.0","0.1","23.1"
"Auden Tate","PHI","13.0","170.0","1.0","0.0","0.0","0.0","0.0","23.0"
"Dyami Brown","WAS","11.2","174.6","0.8","0.0","0.0","0.0","0.0","22.3"
"Anthony Miller","PIT","13.9","171.7","0.8","0.0","0.0","0.0","0.0","22.0"
"Jalen Reagor","MIN","12.9","141.5","0.9","1.0","5.7","0.0","0.1","20.4"
"DJ Turner","LV","12.1","145.0","1.0","0.0","0.0","0.0","0.0","20.2"
"Calvin Austin III","PIT","13.9","162.6","0.7","0.0","0.0","0.0","0.1","20.1"
"Lynn Bowden Jr.","NE","14.3","151.1","0.7","0.0","0.0","0.0","0.0","19.5"
"Deonte Harty","NO","8.1","112.3","0.8","4.3","30.0","0.1","0.1","19.2"
"Antoine Wesley","ARI","11.1","137.4","0.9","0.0","0.0","0.0","0.0","19.1"
"Ray-Ray McCloud","SF","12.3","141.6","0.8","0.0","0.0","0.0","0.0","18.9"
"Richie James Jr.","NYG","8.7","138.4","0.7","0.0","0.0","0.0","0.0","18.2"
"Erik Ezukanma","MIA","9.7","132.6","0.8","0.0","0.0","0.0","0.0","18.1"
"Tyrie Cleveland","DEN","10.3","125.6","0.9","0.0","0.0","0.0","0.1","18.0"
"Demetric Felton Jr.","CLE","10.3","109.1","0.6","4.4","24.5","0.1","0.1","17.7"
"Cam Sims","WAS","9.5","131.2","0.8","0.0","0.0","0.0","0.0","17.6"
"Dareke Young","SEA","11.1","132.6","0.7","0.0","0.0","0.0","0.0","17.6"
"Tylan Wallace","BAL","9.9","129.0","0.8","0.0","0.0","0.0","0.0","17.5"
"Simi Fehoko","DAL","9.7","120.2","0.8","0.0","0.0","0.0","0.1","16.9"
"Ashton Dulin","IND","8.9","117.3","0.7","1.1","7.2","0.0","0.1","16.9"
"Khalil Shakir","BUF","9.4","114.0","0.8","0.7","4.0","0.0","0.0","16.6"
"Kristian Wilkerson","NE","10.2","117.2","0.8","0.0","0.0","0.0","0.0","16.3"
"Jalen Nailor","MIN","9.7","114.4","0.8","0.0","0.0","0.0","0.0","16.2"
"David Moore","CHI","9.7","118.0","0.6","0.0","0.0","0.0","0.0","15.6"
"KhaDarel Hodge","ATL","8.1","113.0","0.6","0.0","0.0","0.0","0.0","14.9"
"Breshad Perriman","TB","7.0","102.2","0.7","0.0","0.0","0.0","0.0","14.5"
"Tyquan Thornton","NE","8.8","102.1","0.7","0.0","0.0","0.0","0.1","14.1"
"Ihmir Smith-Marsette","CHI","8.3","115.1","0.4","0.0","0.0","0.0","0.0","14.1"
"Danny Gray","SF","8.7","107.3","0.6","0.0","0.0","0.0","0.0","14.0"
"Shi Smith","CAR","8.5","107.1","0.5","0.0","0.0","0.0","0.1","13.8"
"Penny Hart","SEA","9.6","103.9","0.6","0.0","0.0","0.0","0.0","13.7"
"Juwan Johnson","NO","9.7","95.6","0.7","0.0","0.0","0.0","0.0","13.6"
"Jason Moore Jr.","LAC","7.7","95.2","0.7","0.0","0.0","0.0","0.0","13.4"
"Bo Melton","SEA","8.1","100.8","0.5","0.0","0.0","0.0","0.0","12.8"
"Seth Williams","JAC","7.4","88.0","0.6","0.0","0.0","0.0","0.0","12.5"
"Samori Toure","GB","6.8","80.9","0.7","0.0","0.0","0.0","0.0","12.4"
"Scotty Miller","TB","6.9","86.4","0.6","0.0","0.0","0.0","0.0","12.3"
"Tim Jones","JAC","7.5","91.6","0.5","0.0","0.0","0.0","0.0","12.3"
"KaVontae Turpin","DAL","4.4","57.1","0.4","4.4","26.6","0.2","0.0","11.6"
"Mike Strachan","IND","6.7","79.0","0.5","0.0","0.0","0.0","0.0","11.1"
"Dezmon Patmon","IND","6.0","74.1","0.6","0.0","0.0","0.0","0.0","11.0"
"Mason Kinsey","TEN","6.4","77.1","0.5","0.0","0.0","0.0","0.0","10.8"
"Jeff Smith","NYJ","5.9","84.2","0.4","0.0","0.0","0.0","0.0","10.8"
"Trent Taylor","CIN","6.9","73.1","0.6","0.0","0.0","0.0","0.0","10.7"
"Denzel Mims","NYJ","6.1","83.2","0.4","0.0","0.0","0.0","0.0","10.7"
"Tre Nixon","NE","6.2","80.1","0.5","0.0","0.0","0.0","0.0","10.7"
"Kendall Hinton","DEN","5.4","77.4","0.5","0.0","0.0","0.0","0.0","10.6"
"Racey McMath","TEN","6.4","76.4","0.5","0.0","0.0","0.0","0.1","10.5"
"Justin Watson","KC","6.1","68.1","0.6","0.0","0.0","0.0","0.1","10.5"
"Tyron Johnson","LV","6.0","77.1","0.5","0.0","0.0","0.0","0.1","10.5"
"Miles Boykin","PIT","5.9","76.5","0.4","0.0","0.0","0.0","0.0","10.2"
"Nsimba Webster","CHI","5.9","76.6","0.4","0.0","0.0","0.0","0.0","10.1"
"Andre Roberts","CAR","5.8","72.9","0.4","0.0","0.0","0.0","0.0","9.9"
"DeAndre Carter","LAC","5.9","69.9","0.5","0.0","0.0","0.0","0.1","9.6"
"Jalen Virgil","DEN","5.3","60.8","0.5","0.0","0.0","0.0","0.0","9.2"
"Tre'Quan Smith","NO","5.9","60.8","0.5","0.0","0.0","0.0","0.0","8.7"
"David Sills V","NYG","5.8","67.8","0.3","0.0","0.0","0.0","0.1","8.5"
"Greg Dortch","ARI","4.4","60.7","0.3","0.0","0.0","0.0","0.0","7.9"
"Stanley Morgan Jr.","CIN","5.1","57.0","0.3","0.0","0.0","0.0","0.0","7.3"
"Cameron Batson","ATL","4.8","52.5","0.3","0.0","0.0","0.0","0.0","7.2"
"Cody Thompson","SEA","4.8","52.3","0.3","0.0","0.0","0.0","0.0","7.1"
"Mike Thomas","CIN","5.0","54.2","0.3","0.0","0.0","0.0","0.0","7.1"
"Travis Fulgham","GB","3.5","44.1","0.3","0.0","0.0","0.0","0.0","6.4"
"Marquez Stevenson","BUF","3.5","41.1","0.3","0.0","0.0","0.0","0.0","6.1"
"Trenton Irwin","CIN","3.5","39.7","0.3","0.0","0.0","0.0","0.0","5.8"
"Andy Isabella","ARI","3.4","42.4","0.3","0.0","0.0","0.0","0.0","5.7"
"Malik Turner","SF","3.1","35.3","0.3","0.0","0.0","0.0","0.0","5.5"
"N'Keal Harry","CHI","3.6","45.5","0.2","0.0","0.0","0.0","0.0","5.4"
"River Cracraft","MIA","3.5","38.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Dennis Houston","DAL","5.0","52.0","0.0","0.0","0.0","0.0","0.0","5.2"
"Dante Pettis","CHI","2.9","38.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Gunner Olszewski","PIT","2.9","36.3","0.2","0.0","0.0","0.0","0.0","4.9"
"Isaiah Coulter","CHI","3.0","38.6","0.2","0.0","0.0","0.0","0.0","4.9"
"Jaelon Darden","TB","2.9","32.8","0.3","0.0","0.0","0.0","0.0","4.8"
"Jake Kumerow","BUF","2.6","32.8","0.3","0.0","0.0","0.0","0.0","4.8"
"Jared Bernhardt","ATL","3.2","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Dax Milne","WAS","2.5","28.7","0.2","0.0","0.0","0.0","0.0","3.9"
"Steven Sims Jr.","PIT","2.7","27.8","0.2","0.0","0.0","0.0","0.0","3.7"
"Bisi Johnson","MIN","4.3","27.2","0.2","0.0","0.0","0.0","0.0","3.7"
"Frank Darby","ATL","2.3","26.9","0.2","0.0","0.0","0.0","0.0","3.6"
"Brandon Powell","LAR","2.0","22.7","0.2","0.0","0.0","0.0","0.0","3.3"
"Lance McCutcheon","LAR","1.8","20.8","0.2","0.0","0.0","0.0","0.0","3.1"
"C.J. Saunders","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Erickson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Gordon","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dan Chisena","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Slade Bolden","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakeem Grant Sr.","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kirk Merritt","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kawaan Baker","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Daurice Fountain","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Coleman","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Vyncint Smith","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""