#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,
1,1.01,Antonio Brown,WR,PIT,1.2,0.5,1.01,1.04,454,
2,1.03,Julio Jones,WR,ATL,2.8,0.9,1.01,1.06,348,
3,1.03,Odell Beckham Jr,WR,NYG,3.4,1.2,1.01,1.1,512,
4,1.03,David Johnson,RB,ARI,3.4,1.5,1.01,1.07,146,
5,1.06,Todd Gurley,RB,LAR,6.3,1.8,1.01,1.12,470,
6,1.06,A.J. Green,WR,CIN,6.4,1.5,1.02,1.12,314,
7,1.06,DeAndre Hopkins,WR,HOU,6.4,1.5,1.02,1.12,388,
8,1.08,Ezekiel Elliott,RB,DAL,8.3,2,1.02,2.03,356,
9,1.09,Allen Robinson,WR,JAX,9.2,1.9,1.04,2.03,449,
10,1.1,Lamar Miller,RB,HOU,9.8,2.2,1.02,2.05,469,
11,1.11,Adrian Peterson,RB,MIN,10.7,2.6,1.01,2.07,436,
12,1.12,LeVeon Bell,RB,PIT,12.3,2.9,1.03,2.08,411,
13,2.01,Brandon Marshall,WR,NYJ,13,2.5,1.04,2.09,446,
14,2.02,Keenan Allen,WR,LAC,13.8,2.3,1.06,2.1,448,
15,2.02,Rob Gronkowski,TE,NE,14.2,3.6,1.04,2.12,422,
16,2.04,Mike Evans,WR,TB,15.7,2.4,1.05,2.11,469,
17,2.04,Dez Bryant,WR,DAL,16.4,2.9,1.05,2.12,433,
18,2.05,Jordy Nelson,WR,GB,17.3,2.9,1.09,3.01,455,
19,2.07,Devonta Freeman,RB,ATL,19.2,3.4,1.06,3.07,374,
20,2.07,Jamaal Charles,RB,KC,19.4,3.7,1.12,3.06,264,
21,2.08,Amari Cooper,WR,LV,20.1,2.9,1.09,3.04,414,
22,2.1,LeSean McCoy,RB,BUF,22,3.3,1.12,3.09,348,
23,2.1,Alshon Jeffery,WR,CHI,22.1,3.5,1.09,3.07,399,
24,2.11,Brandin Cooks,WR,NO,23.3,3.5,1.09,3.08,392,
25,2.12,Eddie Lacy,RB,GB,24,3.8,1.1,3.1,363,
26,3.02,Mark Ingram,RB,NO,25.5,3.8,2.02,3.11,373,
27,3.03,Jarvis Landry,WR,MIA,26.9,3.8,2.02,4.02,387,
28,3.04,Sammy Watkins,WR,BUF,28.3,3.4,2.02,4.04,398,
29,3.05,T.Y. Hilton,WR,IND,29.4,3.3,2.03,4.02,410,
30,3.06,Demaryius Thomas,WR,DEN,29.7,3.9,2.04,4.07,405,
31,3.07,Doug Martin,RB,TB,30.8,3.9,2.02,4.08,415,
32,3.08,Randall Cobb,WR,GB,31.5,3.3,2.09,4.1,405,
33,3.09,CJ Anderson,RB,DEN,33.2,3.5,2.09,4.09,344,
34,3.11,Cam Newton,QB,CAR,34.5,7.9,1.02,5.07,230,
35,3.11,Jordan Reed,TE,WAS,35.1,5.4,2.07,5.09,313,
36,3.11,Julian Edelman,WR,NE,35.1,3.9,3.01,4.11,335,
37,3.12,Latavius Murray,RB,LV,35.8,3.9,2.12,4.11,303,
38,4.01,Jeremy Maclin,WR,KC,37.3,3.7,3.03,5.05,371,
39,4.02,Donte Moncrief,WR,IND,38.4,4.3,2.12,5.07,443,
40,4.03,Aaron Rodgers,QB,GB,38.7,7.4,1.06,5.02,285,
41,4.03,Kelvin Benjamin,WR,CAR,39.2,5.2,2.12,5.11,348,
42,4.04,DeMarco Murray,RB,TEN,40.3,4.7,2.11,5.07,357,
43,4.05,Thomas Rawls,RB,SEA,41,5.1,2.12,5.09,358,
44,4.07,Matt Forte,RB,NYJ,43.1,5.2,2.08,5.12,328,
45,4.08,Golden Tate,WR,DET,43.6,5.3,3.03,5.1,388,
46,4.09,Eric Decker,WR,NYJ,44.9,5.3,3.08,6.04,405,
47,4.1,Carlos Hyde,RB,SF,45.7,5.4,3.04,6.02,318,
48,4.11,Jeremy Langford,RB,CHI,47.1,5,3.09,5.11,313,
49,4.12,Greg Olsen,TE,CAR,48.4,6.7,2.12,6.06,277,
50,5.01,Doug Baldwin,WR,SEA,48.8,6.6,3.05,6.07,343,
51,5.01,Jeremy Hill,RB,CIN,49.1,5,3.08,6.02,351,
52,5.02,Josh Gordon,WR,CLE,49.8,6.1,3.06,6.06,353,
53,5.04,Michael Floyd,WR,ARI,52.3,6.4,3.12,6.09,339,
54,5.05,Russell Wilson,QB,SEA,53.2,6.4,3.06,6.09,225,
55,5.06,Melvin Gordon,RB,LAC,53.7,5.2,4.01,6.1,374,
56,5.06,Danny Woodhead,RB,LAC,53.7,5.6,4.01,6.11,299,
57,5.08,Marvin Jones,WR,DET,56.2,5.7,3.12,7.02,388,
58,5.09,Arian Foster,RB,MIA,57.4,6.1,4.01,7.08,336,
59,5.1,Giovani Bernard,RB,CIN,57.7,5.8,3.12,7.04,356,
60,5.1,Andrew Luck,QB,IND,58.3,7.7,2.08,7.06,259,
61,5.12,Larry Fitzgerald,WR,ARI,60.2,7.2,3.05,7.09,331,
62,5.12,Ryan Mathews,RB,PHI,60.4,5.4,4.11,7.08,335,
63,6.01,Drew Brees,QB,NO,61.1,6.8,3.02,7.07,274,
64,6.03,Jonathan Stewart,RB,CAR,62.8,6.6,3.12,8.02,318,
65,6.04,Delanie Walker,TE,TEN,64,6.3,4.09,7.11,219,
66,6.04,Jordan Matthews,WR,PHI,64.2,7.1,4.03,7.12,358,
67,6.04,Travis Kelce,TE,KC,64.3,7.1,2.07,7.08,217,
68,6.05,Allen Hurns,WR,JAX,65.5,7.5,4.05,8.07,325,
69,6.07,Duke Johnson,RB,CLE,66.9,6,4.03,7.12,307,
70,6.09,Tom Brady,QB,NE,68.5,7.4,4.12,9.11,229,
71,6.09,DeAngelo Williams,RB,PIT,69.1,7.9,4.07,8.09,264,
72,6.11,Emmanuel Sanders,WR,DEN,70.6,8.6,4.01,8.1,332,
73,6.12,Ben Roethlisberger,QB,PIT,72,8.2,4.06,9.05,189,
74,7.01,Coby Fleener,TE,NO,72.7,7,5.04,8.12,171,
75,7.01,Tyler Lockett,WR,SEA,73.4,8.3,4.07,9.03,342,
76,7.02,Frank Gore,RB,IND,73.8,7.6,4.07,8.1,284,
77,7.03,Rashad Jennings,RB,NYG,74.9,7,5.01,8.1,303,
78,7.06,John Brown,WR,ARI,78.3,8.7,4.06,9.03,361,
79,7.06,Matt Jones,RB,WAS,78.4,8,5.03,9.02,288,
80,7.07,Derrick Henry,RB,TEN,78.5,7.7,5.03,9.04,340,
81,7.07,Michael Crabtree,WR,LV,78.6,8,5.06,9.03,396,
82,7.08,Gary Barnidge,TE,CLE,79.6,8.4,3.06,10.02,176,
83,7.1,DeSean Jackson,WR,WAS,81.9,8.7,5.07,9.06,394,
84,7.1,Ameer Abdullah,RB,DET,82.1,7.7,5.04,9.03,310,
85,7.12,Carson Palmer,QB,ARI,83.8,9.2,5.05,9.12,204,
86,7.12,Chris Ivory,RB,JAX,84.1,7.8,5.11,9.03,256,
87,8.01,Sterling Shepard,WR,NYG,84.7,8,6.01,9.07,350,
88,8.02,Blake Bortles,QB,JAX,86.1,9.7,5.01,10.04,151,
89,8.03,Charles Sims,RB,TB,87.2,7.5,6.01,9.06,291,
90,8.04,Zach Ertz,TE,PHI,88.2,11.5,5.06,11.02,152,
91,8.07,Justin Forsett,RB,BAL,90.7,7.3,5.12,11.03,175,
92,8.07,James White,RB,NE,90.9,6.8,6.12,9.1,175,
93,8.08,LeGarrette Blount,RB,NE,91.6,7.2,6.04,9.08,180,
94,8.08,DeVante Parker,WR,MIA,91.7,8.5,5.1,10.03,158,
95,8.08,Willie Snead,WR,NO,92.1,9.1,5.02,10.04,268,
96,8.09,Eli Manning,QB,NYG,93.3,9.5,6.09,10.12,247,
97,8.1,TJ Yeldon,RB,JAX,93.7,8.3,5.1,10.06,240,
98,9.01,Philip Rivers,QB,LAC,96.8,9.4,6.07,11.01,236,
99,9.02,Kevin White,WR,CHI,97.7,8.6,6.08,11.05,190,
100,9.02,Julius Thomas,TE,JAX,98,14.6,6.06,12.06,184,
101,9.02,Devin Funchess,WR,CAR,98.5,9.5,5.01,10.1,243,
102,9.03,Stefon Diggs,WR,MIN,99.2,8.7,7.01,10.08,139,
103,9.04,Christine Michael,RB,SEA,99.6,8.4,7.01,11.03,201,
104,9.04,Theo Riddick,RB,DET,99.8,8.3,7.01,12.02,173,
105,9.06,Antonio Gates,TE,LAC,101.7,14.8,6.05,12.03,196,
106,9.07,Denver Defense,DEF,DEN,103.5,13.3,2.02,11.04,164,
107,9.07,Derek Carr,QB,LV,103.5,10.5,6.03,11.01,202,
108,9.08,Travis Benjamin,WR,LAC,104.2,7.8,7.07,11.02,220,
109,9.1,Kamar Aiken,WR,BAL,105.8,8.7,6.09,11.03,192,
110,9.1,Bilal Powell,RB,NYJ,105.9,7.8,7.08,11.07,186,
111,9.11,Isaiah Crowell,RB,CLE,106.9,8.7,6.06,11.11,193,
112,9.12,Tyler Eifert,TE,CIN,108.4,16.8,3.06,12.12,190,
113,10.02,Kirk Cousins,QB,WAS,109.6,9.1,7.08,11.1,252,
114,10.02,Tavon Austin,WR,LAR,109.8,10.4,6.05,12.01,168,
115,10.02,Arizona Defense,DEF,ARI,109.9,10.6,3.07,11.03,100,
116,10.03,Jay Ajayi,RB,MIA,111.3,10.6,6.07,12.12,151,
117,10.04,Corey Coleman,WR,CLE,112.2,9.8,8.03,12.01,121,
118,10.06,Seattle Defense,DEF,SEA,114.1,9.7,4.06,11.08,119,
119,10.06,Tyrod Taylor,QB,BUF,114.3,9.9,7.05,12.08,198,
120,10.07,Tajae Sharpe,WR,TEN,115.1,9.1,7.07,12.06,206,
121,10.09,Darren Sproles,RB,PHI,116.8,11.3,5.09,12.11,193,
122,10.09,Martellus Bennett,TE,NE,117.3,15.4,4.03,13.11,309,
123,10.11,Matthew Stafford,QB,DET,118.6,9.5,5.11,12.04,236,
124,10.11,Michael Thomas,WR,NO,118.7,11,8.01,13.02,134,
125,10.12,Tevin Coleman,RB,ATL,119.5,11.8,7.12,13.01,221,
126,10.12,Vincent Jackson,WR,TB,119.9,10.6,8.02,12.09,186,
127,11.02,Markus Wheaton,WR,PIT,122.3,12.5,7.04,12.09,124,
128,11.03,Jameis Winston,QB,TB,123.4,10,7.08,12.07,195,
129,11.04,Carolina Defense,DEF,CAR,123.6,9.4,5.07,12.1,148,
130,11.05,Steve Smith,WR,BAL,124.6,12.9,8.01,12.12,81,
131,11.06,Spencer Ware,RB,KC,125.8,15.7,6.01,14.12,412,
132,11.06,DeAndre Washington,RB,LV,126.2,11.4,8.05,13.08,251,
133,11.07,Torrey Smith,WR,SF,127.3,13.4,6.09,13.01,92,
134,11.1,Houston Defense,DEF,HOU,130.1,8,8.04,13.06,74,
135,11.1,Dion Lewis,RB,NE,130.2,14.9,8.09,15.01,119,
136,11.1,Alfred Morris,RB,DAL,130.2,11.6,8.12,14.12,199,
137,11.1,Will Fuller,WR,HOU,130.4,8.4,9.03,13.09,174,
138,11.11,Dwayne Allen,TE,IND,131.2,17,7.02,15.03,371,
139,12.01,Andy Dalton,QB,CIN,132.7,11.2,8.07,15.01,139,
140,12.01,Kansas City Defense,DEF,KC,133.4,8.9,10.04,13.1,79,
141,12.02,Mohamed Sanu,WR,ATL,134.1,8,9.12,15.02,88,
142,12.04,Marcus Mariota,QB,TEN,136.3,12.1,7.03,15.02,139,
143,12.05,Jared Cook,TE,GB,137,18.9,7.01,15.04,374,
144,12.06,Tyler Boyd,WR,CIN,137.6,12.4,9.01,14.06,137,
145,12.06,Rishard Matthews,WR,TEN,138.3,17,4.12,15.1,102,
146,12.09,Devontae Booker,RB,DEN,140.9,13.4,8.11,15.07,216,
147,12.11,Stephen Gostkowski,PK,NE,142.6,16,1.11,14.03,311,
148,12.11,Chris Hogan,WR,NE,142.6,11.1,9.06,15.03,118,
149,12.12,Jimmy Graham,TE,SEA,144.3,17.8,8.12,15.09,233,
150,13.01,Dak Prescott,QB,DAL,144.8,17.9,3.08,15.1,91,
151,13.02,NY Jets Defense,DEF,NYJ,145.8,13.5,10.09,15.09,68,
152,13.03,Matt Ryan,QB,ATL,146.5,12.3,11.02,15.08,127,
153,13.04,Minnesota Defense,DEF,MIN,147.8,12.5,11.01,15.09,79,
154,13.05,Jerick McKinnon,RB,MIN,148.8,14,9.07,15.08,217,
155,13.05,Phillip Dorsett,WR,IND,148.9,11.7,10.01,15.07,98,
156,13.06,Shane Vereen,RB,NYG,149.9,17.4,9.08,15.12,83,
157,13.07,Ryan Fitzpatrick,QB,NYJ,151.1,15.5,7.1,15.11,110,
158,13.07,Kenny Stills,WR,MIA,151.2,12.4,9.07,15.07,120,
159,13.07,Jason Witten,TE,DAL,151.2,21.3,4.05,15.12,150,
160,13.08,Steven Hauschka,PK,SEA,152.1,9.9,10.04,14.06,76,
161,13.08,New England Defense,DEF,NE,152.2,13,9.04,15.11,120,
162,13.09,Mike Wallace,WR,BAL,153.2,13.4,9.04,15.12,85,
163,13.09,Ted Ginn Jr,WR,CAR,153.5,20,7.01,15.12,59,
164,13.11,James Starks,RB,GB,154.9,15,10.03,15.11,165,
165,13.11,Chris Thompson,RB,WAS,155.2,15,10.08,15.12,53,
166,13.12,Sammie Coates,WR,PIT,156.1,13.5,9.11,15.12,79,
167,14.01,Zach Miller,TE,CHI,157.4,19.9,6.04,15.12,91,
168,14.01,Ryan Tannehill,QB,MIA,157.4,12.9,10.1,15.1,86,
169,14.02,Terrelle Pryor,WR,CLE,157.7,18.8,7.01,15.12,94,
170,14.02,Terrance West,RB,BAL,158.5,14.8,10.11,15.12,64,
171,14.03,Justin Tucker,PK,BAL,158.8,9.8,9.01,15.11,84,
172,14.03,LA Rams Defense,DEF,LAR,158.9,10.6,11.11,15.12,121,
173,14.03,Robert Griffin III,QB,CLE,159.3,15.4,9.06,15.11,59,
174,14.03,Dorial Green-Beckham,WR,PHI,159.3,19.8,5.09,15.12,55,
175,14.03,Chris Johnson,RB,ARI,159.4,12.8,11.12,15.12,104,
176,14.05,Graham Gano,PK,CAR,160.6,10.3,11.03,15.12,64,
177,14.05,Cincinnati Defense,DEF,CIN,160.9,10.3,11.12,15.12,132,
178,14.06,Dan Bailey,PK,DAL,162,7.5,11.1,15.07,54,
179,14.07,Brock Osweiler,QB,HOU,163.3,13.2,12.01,15.12,53,
180,14.07,Chandler Catanzaro,PK,ARI,163.4,10.1,10.02,15.12,57,
181,14.09,Las Vegas Defense,DEF,LV,164.7,8.3,13.01,15.12,108,
182,14.09,Philadelphia Defense,DEF,PHI,165.4,10.4,12.01,15.12,68,
183,14.11,Green Bay Defense,DEF,GB,167.1,8.8,12.05,15.12,101,
184,15.02,Brandon McManus,PK,DEN,169.6,10.4,11.01,15.12,59,
185,15.02,Mason Crosby,PK,GB,169.9,5.8,13.02,15.12,89,
186,15.02,Adam Vinatieri,PK,IND,170.5,5.7,14.06,15.12,54,
187,15.04,Chris Boswell,PK,PIT,172.4,5.1,14.03,15.12,61,
188,15.05,Cairo Santos,PK,KC,173.4,4.5,14.07,15.12,62,
