,Age,Passing_TD%,Passing_Int%,Passing_1D,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_1D,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
1257,24,4.1,3.9,179.0,89.0,7.2,6.2,12.1,40.0,7.0,6.17,5.29,15.0,18.0,5.0,229.2
1258,23,4.5,1.3,150.0,70.0,7.0,7.3,11.5,33.0,6.6,6.14,6.44,20.0,21.0,5.1,229.2
1259,40,7.1,1.1,159.0,61.0,7.9,8.8,10.6,12.0,3.1,7.41,8.33,2.0,2.0,-0.4,224.8
1260,31,7.7,2.1,126.0,91.0,9.6,10.2,13.6,31.0,9.8,7.98,8.52,14.0,25.0,4.3,224.2
1261,27,4.0,1.3,143.0,50.0,6.6,6.8,10.8,27.0,5.7,5.87,6.06,20.0,24.0,4.1,217.7
1262,22,5.2,2.6,140.0,75.0,6.6,6.5,10.7,38.0,7.6,5.5,5.38,21.0,26.0,6.2,215.0
1263,32,3.0,2.7,170.0,66.0,6.6,6.0,11.1,37.0,6.5,5.74,5.19,12.0,17.0,2.3,203.7
1264,25,3.3,1.9,156.0,53.0,6.1,5.9,9.6,38.0,6.9,5.24,5.04,12.0,23.0,4.0,202.8
1265,22,4.3,2.9,147.0,92.0,6.9,6.4,11.1,33.0,7.0,5.93,5.5,6.0,24.0,1.9,189.2
1266,23,3.5,3.3,188.0,52.0,6.8,6.0,11.0,46.0,8.6,5.47,4.76,9.0,17.0,3.3,177.5
1267,31,6.5,1.7,117.0,66.0,8.6,9.1,13.4,18.0,5.8,7.64,8.15,5.0,12.0,3.3,166.6
1288,24,4.6,3.2,80.0,76.0,6.2,5.7,10.0,15.0,5.0,5.51,5.02,6.0,13.0,2.0,108.8
1292,31,4.5,2.0,83.0,69.0,6.9,6.9,10.7,15.0,5.7,5.96,5.94,2.0,9.0,1.3,103.5
1307,27,4.6,1.0,67.0,45.0,7.1,7.5,10.4,12.0,5.8,6.23,6.66,4.0,11.0,1.1,90.5
1313,34,2.3,1.9,86.0,70.0,7.0,6.6,10.7,26.0,9.0,5.65,5.29,4.0,9.0,1.7,84.9
1315,26,4.4,1.3,50.0,75.0,7.5,7.8,12.7,25.0,13.5,5.63,5.9,5.0,15.0,5.4,85.0
1320,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,10.0,30.0,5.8,102.2
1326,22,3.4,3.4,65.0,75.0,6.7,5.9,11.5,29.0,12.5,5.0,4.25,7.0,23.0,5.1,76.7
1349,23,4.5,1.9,54.0,48.0,6.5,6.6,10.2,5.0,3.1,6.17,6.2,5.0,12.0,4.0,68.0
1365,26,3.8,3.8,31.0,47.0,6.5,5.6,11.0,11.0,9.5,5.51,4.65,10.0,23.0,6.9,58.1
1377,24,2.3,3.4,47.0,75.0,5.7,4.6,10.5,14.0,7.4,4.68,3.67,1.0,9.0,3.9,55.4
1378,38,4.1,3.4,47.0,55.0,7.1,6.4,11.5,5.0,3.3,6.57,5.88,1.0,6.0,1.8,54.4
1388,23,3.1,5.0,51.0,79.0,6.6,5.0,10.6,15.0,8.6,5.49,4.01,5.0,22.0,3.2,51.3
1415,35,4.4,2.6,35.0,57.0,7.2,8.1,11.2,8.0,8.1,6.0,6.81,7.0,3.0,-0.2,42.3
1428,30,2.6,1.7,31.0,39.0,6.3,6.0,9.6,8.0,6.4,5.41,5.17,2.0,13.0,5.8,37.7
1442,27,3.6,2.4,20.0,75.0,6.1,5.8,13.2,9.0,9.7,4.9,4.58,4.0,11.0,3.9,32.5
1444,38,4.5,1.5,30.0,35.0,8.7,8.9,11.6,2.0,2.9,8.13,8.35,7.0,-1.0,-1.0,32.9
1465,33,4.7,3.1,22.0,37.0,6.8,6.3,9.7,7.0,9.9,5.45,5.03,2.0,4.0,1.0,26.0
1476,25,2.3,2.3,20.0,47.0,5.4,4.9,11.6,11.0,11.2,3.89,3.38,4.0,24.0,7.7,24.7
1501,34,6.2,6.2,22.0,23.0,5.7,4.2,10.6,5.0,7.1,4.64,3.21,7.0,6.0,0.3,21.1
1515,22,0.9,4.6,26.0,40.0,5.2,3.3,9.8,16.0,12.8,3.79,2.15,7.0,6.0,4.3,18.0
1519,29,4.1,2.7,11.0,21.0,6.1,4.9,10.7,5.0,11.9,4.33,3.26,3.0,18.0,7.8,16.9
1520,30,4.1,1.1,29.0,44.0,6.4,5.9,11.4,6.0,6.3,5.57,5.09,7.0,3.0,-0.4,16.7
1527,29,2.6,5.3,10.0,39.0,5.9,4.1,9.8,5.0,11.6,4.79,3.16,5.0,16.0,3.5,16.0
1545,37,4.1,1.6,14.0,45.0,5.7,4.9,10.0,2.0,3.1,5.38,4.67,7.0,7.0,7.0,12.7
1573,25,4.1,4.1,15.0,36.0,5.7,3.8,8.9,16.0,18.0,3.6,2.08,7.0,14.0,3.2,8.6
1600,29,4.1,5.9,15.0,41.0,7.0,4.4,13.3,2.0,3.8,6.58,4.04,7.0,14.0,-2.0,6.0
1602,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,3.0,14.0,5.9,6.1
1607,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,9.0,0.7,6.0
1626,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,4.2
1627,33,4.1,3.7,5.0,22.0,4.5,2.9,6.8,6.0,18.2,2.36,1.0,1.0,9.0,7.0,4.3
1680,24,4.1,7.7,12.0,28.0,4.4,0.9,8.1,6.0,10.3,3.17,0.07,2.0,11.0,3.1,1.3
1681,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.3,0.6
1692,40,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,0.8
1710,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-1.4,-0.1
1714,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.3
1718,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,1.0,1.0,0.1
1720,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.3
1723,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.1
1724,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,73.0
1726,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,1.0,-4.5,-0.8
1727,27,4.1,9.5,6.0,35.0,6.0,1.7,10.5,21.0,6.6,6.0,1.71,7.0,14.0,-0.8,-1.5
1730,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-1.6
1736,23,8.6,2.1,262.0,89.0,8.8,9.6,13.3,26.0,4.3,8.13,8.89,17.0,28.0,4.5,417.1
1752,33,5.8,1.2,236.0,75.0,8.1,8.7,11.7,42.0,6.5,7.12,7.71,15.0,15.0,3.8,355.0
1758,36,5.0,2.4,248.0,97.0,7.6,7.5,11.3,24.0,3.4,7.1,7.04,13.0,18.0,3.2,341.9
1762,23,5.1,1.8,215.0,73.0,8.2,8.5,12.1,62.0,10.9,6.67,6.87,33.0,34.0,5.6,331.7
1769,29,6.1,2.3,260.0,68.0,7.2,7.4,10.7,18.0,2.7,6.79,6.95,12.0,33.0,3.2,327.9
1774,35,4.2,0.3,200.0,75.0,7.4,8.1,11.9,49.0,7.6,6.33,6.96,20.0,23.0,6.3,312.6
1776,24,5.7,2.1,268.0,70.0,8.4,8.5,12.9,33.0,5.6,7.52,7.69,9.0,16.0,2.5,310.3
1783,39,6.5,1.0,223.0,72.0,8.2,9.0,11.0,17.0,3.4,7.65,8.47,11.0,11.0,0.7,305.0
1789,30,8.2,1.6,162.0,66.0,8.1,9.0,12.3,51.0,10.7,6.47,7.28,23.0,40.0,5.6,299.4
1800,25,4.2,1.5,206.0,90.0,7.4,7.5,10.9,56.0,9.6,6.08,6.22,25.0,28.0,4.1,285.9
1801,37,6.3,2.4,235.0,75.0,8.5,8.7,12.4,32.0,5.9,7.6,7.79,1.0,7.0,0.4,285.0
1806,29,5.1,2.8,180.0,82.0,7.2,7.0,10.6,29.0,5.8,6.36,6.15,36.0,29.0,4.8,282.6
1810,30,5.0,1.7,218.0,75.0,7.1,7.3,10.1,40.0,6.2,6.25,6.48,12.0,19.0,2.8,283.1
1811,41,5.1,1.9,255.0,63.0,7.6,7.8,11.6,21.0,3.6,7.12,7.26,10.0,10.0,1.5,281.3
1812,24,5.5,2.8,163.0,70.0,7.4,7.3,11.2,24.0,5.2,6.72,6.59,29.0,39.0,6.2,263.0
1813,37,3.6,1.9,205.0,58.0,7.5,7.3,11.3,47.0,7.5,6.33,6.21,5.0,7.0,1.3,240.0
1814,23,5.6,2.9,171.0,71.0,7.7,7.5,12.0,25.0,4.9,6.95,6.77,8.0,35.0,3.4,240.1
1815,27,3.4,1.8,197.0,66.0,7.3,7.2,10.6,51.0,8.4,6.21,6.09,5.0,15.0,2.0,216.8
1816,30,3.1,2.6,179.0,64.0,6.6,6.1,10.7,34.0,5.5,5.9,5.39,11.0,17.0,3.6,214.9
1817,30,3.8,2.0,197.0,67.0,6.8,6.7,10.3,40.0,6.7,5.92,5.79,8.0,10.0,2.8,212.2
1818,22,3.1,3.8,89.0,75.0,6.5,5.4,12.3,28.0,8.0,5.35,4.37,41.0,45.0,7.1,208.1
1819,24,5.0,3.7,152.0,64.0,7.9,7.3,12.3,27.0,6.7,7.0,6.38,19.0,18.0,5.7,195.8
1820,26,5.2,1.7,159.0,58.0,7.7,7.9,11.0,31.0,7.2,6.65,6.89,8.0,13.0,2.7,193.7
1821,31,5.8,3.0,132.0,49.0,7.0,6.8,11.4,21.0,5.4,6.24,6.05,4.0,21.0,6.2,174.5
1822,25,3.3,2.4,121.0,61.0,7.6,7.2,11.1,42.0,11.3,6.13,5.75,26.0,27.0,5.6,175.9
1823,26,3.2,2.7,126.0,80.0,6.7,6.2,11.2,31.0,7.1,5.86,5.32,28.0,41.0,6.3,173.2
1824,21,4.1,3.6,130.0,76.0,6.9,6.1,12.0,30.0,6.8,5.99,5.24,16.0,28.0,3.1,168.4
1825,36,6.9,4.9,113.0,75.0,9.6,8.8,14.4,14.0,5.4,8.81,8.04,9.0,18.0,4.2,165.8
1826,21,3.5,1.8,67.0,74.0,7.1,7.0,12.1,16.0,8.6,6.08,5.99,45.0,39.0,4.7,157.5
1827,30,6.2,3.3,92.0,75.0,7.2,7.0,11.2,35.0,11.3,5.5,5.29,9.0,20.0,4.5,143.0
1828,34,3.0,1.5,106.0,52.0,6.6,6.6,10.6,22.0,6.3,5.88,5.81,15.0,22.0,4.1,138.0
1829,33,3.2,1.6,119.0,71.0,6.5,6.4,10.6,16.0,4.1,6.04,5.96,10.0,13.0,2.4,137.1
1833,23,4.7,3.6,106.0,85.0,8.3,7.6,12.9,17.0,5.8,7.39,6.74,1.0,2.0,-0.9,123.5
1839,21,2.8,3.6,112.0,75.0,5.8,4.8,10.5,45.0,10.3,4.47,3.53,8.0,33.0,6.0,112.9
1878,25,3.4,1.1,50.0,37.0,5.7,5.9,9.6,16.0,8.3,4.59,4.74,7.0,27.0,5.2,85.1
1895,25,4.7,4.1,60.0,82.0,7.4,6.5,12.3,18.0,9.6,5.86,5.03,6.0,13.0,3.6,75.0
1896,29,3.6,2.1,87.0,83.0,7.2,7.0,10.0,9.0,4.4,6.7,6.5,6.0,4.0,1.9,76.2
1912,28,3.4,2.2,58.0,75.0,7.0,6.7,11.0,17.0,8.7,5.73,5.42,1.0,7.0,2.6,68.0
1950,32,3.3,4.4,29.0,79.0,6.5,5.2,11.3,9.0,9.0,5.23,4.03,7.0,16.0,5.2,49.6
1957,27,5.6,3.4,35.0,56.0,8.1,7.7,13.5,13.0,12.7,6.09,5.75,2.0,13.0,4.1,48.0
1979,29,2.4,2.4,17.0,47.0,5.6,5.0,11.3,13.0,13.3,4.0,3.49,6.0,24.0,7.8,41.4
1984,25,1.5,1.5,35.0,35.0,5.4,5.0,8.3,22.0,14.4,3.66,3.33,9.0,21.0,6.5,38.7
1990,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-1.0,53.1
2004,29,4.0,4.0,32.0,35.0,6.2,5.2,10.3,5.0,4.7,5.56,4.61,2.0,1.0,3.2,33.0
2018,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,15.0,35.0,5.3,33.6
2022,32,3.9,2.6,23.0,46.0,6.8,6.4,9.7,9.0,10.6,5.59,5.24,1.0,4.0,0.2,30.7
2035,22,6.5,2.6,11.0,53.0,8.6,9.9,13.3,21.0,6.6,8.58,9.87,2.0,10.0,3.8,26.5
2038,32,5.6,5.6,17.0,53.0,6.9,5.5,10.9,6.0,10.0,5.6,4.35,4.0,15.0,6.3,27.2
2065,39,0.9,3.6,27.0,41.0,4.9,3.4,9.0,7.0,6.0,4.31,2.94,2.0,12.0,6.4,20.8
2075,28,8.0,2.6,12.0,47.0,9.3,10.9,15.5,1.0,3.8,8.62,10.15,7.0,14.0,-0.7,17.1
2099,25,1.8,5.3,19.0,33.0,5.6,3.6,9.1,2.0,3.4,5.14,3.19,2.0,19.0,6.2,13.9
2105,31,2.5,5.0,16.0,35.0,5.0,3.3,8.0,6.0,7.0,4.27,2.64,1.0,8.0,3.5,12.7
2108,24,1.2,8.6,13.0,26.0,3.7,6.6,6.7,7.0,8.0,2.98,-0.38,4.0,24.0,5.0,12.8
2116,29,4.8,2.6,8.0,26.0,8.3,9.2,11.6,1.0,4.5,7.55,8.45,7.0,14.0,3.2,11.0
2142,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,20.3
2144,35,4.1,5.7,22.0,40.0,6.6,4.1,11.1,5.0,6.7,5.76,3.36,7.0,-1.0,-1.0,6.5
2147,26,4.3,4.3,8.0,18.0,5.1,4.0,8.4,2.0,8.0,4.4,3.4,1.0,9.0,0.5,7.2
2166,22,4.1,4.8,8.0,29.0,4.5,2.3,9.4,4.0,8.7,3.24,1.28,3.0,12.0,7.8,5.4
2170,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,4.7
2204,36,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,14.0,6.5,1.7
2212,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,1.6
2235,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,2.0,10.0,2.8,0.8
2238,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.8
2241,33,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,3.0,3.0,1.5
2265,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.1
2266,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,3.0,-1.3,73.0
2267,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.7,0.1
2269,32,4.1,8.6,3.0,20.0,3.9,0.1,7.3,7.0,16.7,2.29,-0.93,1.0,8.0,8.0,0.3
2270,37,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,1.1
2272,35,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.1
2274,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.6
2275,33,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,2.0,-0.7,-0.5
2277,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,9.0,0.3,-1.5
2281,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-2.0,-2.0,-2.2
2290,29,6.1,2.0,189.0,74.0,7.2,7.5,11.7,43.0,7.2,6.14,6.45,36.0,31.0,6.2,347.9
2304,28,4.5,3.3,167.0,64.0,6.7,6.1,11.3,35.0,6.6,5.81,5.28,46.0,69.0,5.4,299.5
2309,40,5.5,1.4,230.0,64.0,7.9,8.4,11.9,35.0,5.7,7.1,7.56,8.0,7.0,1.1,295.9
2310,33,5.1,1.0,182.0,79.0,8.0,8.6,11.9,35.0,6.5,7.1,7.65,20.0,70.0,5.9,295.2
2321,25,7.5,1.6,161.0,72.0,7.5,8.3,12.4,28.0,6.0,6.7,7.43,27.0,24.0,4.7,281.7
2324,29,5.0,2.4,194.0,74.0,7.6,7.5,11.8,41.0,7.1,6.46,6.38,19.0,18.0,3.7,277.6
2334,29,5.1,1.8,210.0,71.0,7.9,8.1,12.0,47.0,7.7,6.8,7.01,9.0,15.0,3.4,273.6
2338,36,4.9,1.7,217.0,75.0,7.9,8.0,12.5,18.0,3.0,7.41,7.6,1.0,8.0,-0.1,270.4
2344,38,4.3,1.5,203.0,54.0,8.1,8.3,11.2,20.0,3.6,7.53,7.71,7.0,7.0,0.4,262.6
2348,35,5.0,2.5,204.0,97.0,7.6,7.5,11.8,21.0,3.6,7.07,6.95,7.0,14.0,1.7,260.7
2349,24,4.5,2.7,162.0,81.0,6.8,6.5,10.8,32.0,6.1,6.01,5.74,29.0,21.0,6.3,260.7
2358,23,5.9,1.5,177.0,94.0,8.0,8.5,12.9,25.0,5.0,7.24,7.72,3.0,22.0,1.8,255.3
2359,25,4.0,2.5,195.0,75.0,7.0,6.7,11.7,24.0,4.4,6.52,6.21,20.0,28.0,5.6,249.7
2360,29,4.6,1.5,180.0,65.0,7.4,7.6,10.9,22.0,4.4,6.78,7.03,13.0,22.0,4.0,237.9
2361,32,3.8,2.3,199.0,88.0,7.7,7.5,12.0,24.0,4.3,7.12,6.87,11.0,16.0,4.5,228.1
2362,28,3.3,1.0,133.0,47.0,6.7,6.9,10.6,46.0,9.9,5.46,5.67,28.0,32.0,5.1,222.7
2363,30,5.0,2.4,163.0,77.0,6.7,6.6,11.2,39.0,7.3,5.73,5.65,10.0,25.0,2.6,210.7
2364,24,2.9,3.3,149.0,75.0,7.1,6.2,11.5,27.0,5.6,6.37,5.51,23.0,34.0,5.2,210.5
2365,25,2.8,1.5,146.0,80.0,6.6,6.5,11.2,52.0,10.0,5.36,5.26,15.0,25.0,4.1,205.9
2366,26,4.3,2.5,168.0,87.0,6.8,6.5,10.8,20.0,3.7,6.35,6.07,5.0,32.0,2.9,206.4
2367,38,4.5,2.3,137.0,69.0,7.4,7.3,11.0,39.0,8.9,6.11,6.0,14.0,22.0,3.4,205.4
2368,23,4.3,2.5,185.0,70.0,7.9,7.7,12.4,33.0,6.9,6.94,6.7,8.0,17.0,4.1,201.7
2369,36,3.3,2.3,172.0,77.0,6.1,5.7,9.9,31.0,5.1,5.45,5.11,2.0,14.0,2.2,187.3
2370,32,3.3,2.4,163.0,66.0,5.7,5.3,8.9,27.0,4.7,5.1,4.71,4.0,25.0,2.2,185.0
2371,21,2.3,4.6,131.0,56.0,6.1,4.5,11.3,38.0,7.4,5.19,3.69,32.0,20.0,5.4,175.7
2372,22,9.3,3.9,85.0,72.0,8.3,8.4,13.5,19.0,8.5,7.1,7.19,14.0,49.0,7.5,168.9
2373,34,4.4,3.3,138.0,65.0,6.2,5.6,10.0,20.0,4.5,5.59,5.04,3.0,9.0,1.7,157.8
2374,23,2.1,2.1,100.0,70.0,6.6,6.1,11.2,31.0,8.6,5.53,5.05,14.0,46.0,6.0,134.5
2375,34,6.7,2.5,86.0,72.0,7.0,7.2,10.9,22.0,8.5,5.8,5.99,10.0,18.0,5.3,129.6
2376,26,3.4,4.0,112.0,44.0,6.5,5.4,11.1,33.0,8.6,5.41,4.38,8.0,15.0,4.1,126.1
2378,24,2.8,3.8,90.0,55.0,5.8,4.7,9.6,29.0,8.4,4.75,3.71,21.0,24.0,7.5,124.4
2398,38,3.4,2.6,95.0,46.0,7.4,6.9,12.1,22.0,7.6,6.33,5.86,5.0,4.0,0.9,102.3
2411,24,1.8,2.7,67.0,83.0,6.4,5.5,11.6,19.0,7.8,5.3,4.52,11.0,16.0,5.2,88.8
2414,26,3.9,2.8,81.0,61.0,8.8,8.3,13.0,8.0,4.3,8.08,7.62,4.0,8.0,0.7,87.9
2437,35,4.3,1.8,64.0,41.0,6.8,6.8,11.5,7.0,4.1,6.29,6.32,5.0,15.0,5.2,73.9
2451,27,2.9,2.9,53.0,54.0,6.3,5.6,11.3,10.0,5.5,5.63,4.94,3.0,18.0,4.6,67.9
2460,32,1.9,1.9,112.0,59.0,6.1,5.6,10.5,16.0,7.0,5.18,4.74,7.0,9.0,0.4,63.9
2467,28,3.5,3.5,55.0,52.0,6.4,5.5,11.4,23.0,11.9,4.83,4.06,7.0,12.0,3.7,61.6
2491,27,2.2,2.7,70.0,57.0,6.3,5.6,11.3,21.0,8.6,5.14,4.44,7.0,3.0,0.5,50.7
2498,33,3.8,3.1,49.0,52.0,5.6,5.0,11.3,7.0,4.2,5.14,4.51,2.0,5.0,0.8,50.5
2519,33,3.1,3.9,40.0,61.0,6.8,5.6,11.0,12.0,8.6,5.51,4.47,1.0,7.0,3.0,41.3
2552,28,5.0,2.0,29.0,35.0,5.3,5.4,9.4,5.0,4.7,4.65,4.75,1.0,9.0,0.3,33.8
2553,28,2.9,3.6,42.0,29.0,6.0,4.9,9.0,8.0,5.4,5.1,4.12,7.0,2.0,1.0,33.7
2554,25,5.3,6.7,21.0,49.0,6.9,5.0,11.2,6.0,7.4,5.95,4.16,4.0,11.0,7.1,33.8
2556,30,4.1,3.1,27.0,40.0,5.4,4.8,11.1,13.0,11.8,4.07,3.57,4.0,15.0,10.2,34.0
2567,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,50.0
2575,30,7.0,2.6,17.0,44.0,8.9,10.3,11.9,5.0,10.4,7.13,8.38,7.0,-1.0,-1.5,27.0
2585,26,0.9,2.7,25.0,46.0,4.9,3.8,9.9,8.0,6.7,4.08,3.12,4.0,24.0,7.9,25.3
2605,27,2.3,2.3,15.0,26.0,6.2,5.6,9.1,1.0,2.3,5.84,5.27,1.0,3.0,2.0,19.4
2627,23,4.4,6.7,15.0,30.0,6.6,4.4,9.8,9.0,16.7,4.52,2.76,2.0,11.0,6.0,14.8
2635,27,2.3,2.3,13.0,41.0,6.2,5.6,11.0,4.0,8.5,5.02,4.49,1.0,10.0,7.5,14.1
2650,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,19.7
2668,22,4.1,2.9,15.0,51.0,8.1,6.8,12.9,2.0,5.4,7.27,6.05,7.0,5.0,1.4,10.4
2671,23,4.1,10.2,15.0,21.0,5.1,1.4,10.5,1.0,2.0,4.94,1.24,1.0,9.0,3.3,10.4
2673,27,2.8,2.6,8.0,47.0,5.9,6.4,10.1,3.0,7.7,5.13,5.64,2.0,10.0,3.0,9.7
2681,28,3.6,3.6,9.0,46.0,8.5,7.6,10.4,3.0,9.7,7.23,6.42,7.0,14.0,-1.3,8.6
2695,24,4.1,2.6,5.0,16.0,5.8,5.8,7.1,3.0,11.5,4.23,4.23,1.0,22.0,22.0,7.6
