,Age,Passing_TD%,Passing_Int%,Passing_1D,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_1D,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
2728,25,4.1,2.6,8.0,50.0,5.0,5.0,8.4,3.0,7.5,4.13,4.13,3.0,3.0,-0.2,5.2
2743,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,6.5
2754,24,4.1,4.3,6.0,31.0,5.5,3.5,11.5,6.0,20.7,2.69,1.14,7.0,-1.0,-1.0,2.9
2756,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,2.6
2766,35,2.4,4.8,10.0,17.0,3.9,2.2,6.5,8.0,16.0,2.64,1.24,7.0,14.0,3.2,2.5
2783,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,2.0,2.0,0.6
2790,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,15.0,6.5,1.4
2794,34,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,0.5
2795,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.4
2797,31,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.7,-0.2
2798,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.1
2810,34,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-1.1
2811,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.5
2816,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,-1.0
2817,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,-2.0
2818,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-2.3
2822,33,6.6,1.1,226.0,66.0,7.3,8.1,11.0,35.0,5.4,6.48,7.24,26.0,23.0,5.5,380.0
2828,31,7.1,1.3,240.0,76.0,9.3,10.1,13.3,37.0,6.5,8.25,9.03,13.0,18.0,3.3,347.5
2833,37,5.5,2.2,265.0,98.0,7.7,7.8,11.1,27.0,3.9,7.18,7.27,7.0,7.0,0.9,332.3
2841,27,5.7,2.4,206.0,64.0,7.8,7.8,12.3,41.0,7.0,6.78,6.84,20.0,33.0,5.3,307.7
2845,28,4.1,2.0,227.0,80.0,8.1,8.0,12.1,23.0,3.7,7.52,7.45,14.0,19.0,2.8,300.3
2857,23,5.0,0.9,185.0,83.0,8.0,8.6,11.8,25.0,5.2,7.28,7.86,21.0,18.0,4.9,286.9
2866,28,4.0,1.7,218.0,73.0,7.3,7.3,11.2,37.0,5.9,6.52,6.56,16.0,24.0,5.6,279.8
2874,27,3.9,1.4,148.0,84.0,6.9,7.1,11.2,42.0,8.8,5.92,6.07,34.0,49.0,6.1,270.9
2877,24,3.7,2.6,207.0,51.0,6.2,5.8,10.6,34.0,5.2,5.63,5.23,20.0,27.0,6.2,271.1
2879,25,5.0,1.1,191.0,75.0,7.0,7.5,11.0,16.0,2.8,6.7,7.2,5.0,13.0,1.8,268.5
2881,28,3.8,2.0,193.0,59.0,7.7,7.6,12.0,41.0,7.0,6.69,6.56,18.0,18.0,3.6,270.1
2894,29,3.2,1.4,206.0,86.0,7.5,7.5,11.6,41.0,6.8,6.53,6.53,17.0,15.0,4.0,260.6
2898,23,5.8,2.0,157.0,60.0,7.6,7.9,12.4,23.0,4.9,6.9,7.14,22.0,41.0,5.8,259.9
2899,39,6.5,0.5,165.0,79.0,8.2,9.3,12.2,15.0,3.4,7.76,8.81,11.0,15.0,2.3,258.6
2900,35,5.7,3.6,215.0,59.0,7.6,7.1,12.6,36.0,5.9,6.84,6.37,3.0,10.0,2.5,258.9
2901,22,4.9,3.2,216.0,45.0,7.2,6.8,11.9,35.0,5.8,6.4,5.98,13.0,14.0,3.1,256.1
2902,27,3.7,2.7,173.0,88.0,6.9,6.4,13.0,36.0,6.6,5.92,5.46,28.0,28.0,4.0,254.3
2903,34,5.7,2.6,184.0,72.0,7.5,7.5,11.6,17.0,3.2,6.99,6.98,3.0,14.0,0.9,252.2
2904,37,4.4,2.3,220.0,80.0,7.1,6.9,11.6,40.0,6.3,6.2,6.03,3.0,16.0,2.7,243.1
2905,31,3.0,2.2,204.0,95.0,6.4,6.0,9.9,33.0,4.7,5.78,5.39,6.0,16.0,2.8,242.5
2906,35,4.3,2.7,191.0,75.0,6.7,6.4,10.7,21.0,3.4,6.28,5.95,2.0,6.0,-0.4,224.2
2907,32,3.1,1.6,182.0,80.0,7.2,7.0,10.7,28.0,5.4,6.5,6.39,11.0,24.0,2.8,224.8
2908,29,3.6,0.9,199.0,71.0,7.0,7.3,9.8,37.0,6.3,6.11,6.41,3.0,24.0,2.7,221.9
2909,24,2.6,2.3,192.0,73.0,6.2,5.7,10.0,33.0,5.2,5.58,5.09,17.0,17.0,3.3,214.0
2910,29,4.8,1.2,101.0,65.0,6.8,7.2,11.4,36.0,9.8,5.54,5.92,29.0,30.0,6.8,200.4
2911,25,3.7,2.1,155.0,76.0,7.0,6.8,11.8,31.0,6.0,6.22,6.04,6.0,14.0,2.0,191.7
2912,28,4.9,3.1,134.0,74.0,7.7,7.3,11.5,29.0,6.9,6.65,6.27,11.0,18.0,4.2,190.2
2913,26,2.9,3.1,154.0,53.0,5.8,5.0,9.8,27.0,5.0,5.12,4.34,14.0,21.0,4.4,169.0
2914,34,3.0,4.2,130.0,57.0,6.7,5.4,11.9,19.0,4.5,6.23,4.99,7.0,14.0,3.9,133.4
2933,28,2.8,3.4,103.0,65.0,6.8,5.9,11.2,23.0,6.7,5.97,5.06,8.0,13.0,2.6,111.1
2975,31,3.0,2.6,75.0,64.0,7.2,7.8,10.8,4.0,2.0,7.0,7.58,7.0,3.0,-0.3,79.6
2982,23,3.1,1.0,69.0,44.0,7.1,7.2,10.8,21.0,9.7,5.74,5.88,1.0,8.0,1.6,77.0
2989,27,3.1,3.8,50.0,75.0,5.8,4.7,10.2,11.0,6.4,5.13,4.13,16.0,24.0,4.3,73.7
2995,26,3.7,6.5,90.0,37.0,7.5,5.3,12.5,6.0,2.7,7.06,4.95,7.0,5.0,0.3,71.8
3006,26,1.4,2.0,43.0,58.0,6.0,5.4,10.2,22.0,13.0,4.43,3.86,10.0,20.0,6.1,66.4
3025,32,9.2,3.4,35.0,66.0,8.3,8.6,13.1,1.0,1.1,8.19,8.48,7.0,-1.0,-1.0,54.7
3033,22,2.4,3.4,48.0,66.0,5.3,4.3,9.7,26.0,11.3,3.75,2.82,1.0,6.0,2.0,53.2
3036,37,3.6,3.6,56.0,54.0,6.7,5.8,12.2,18.0,9.8,5.32,4.5,7.0,7.0,3.0,52.1
3045,33,2.9,3.6,45.0,54.0,7.7,6.7,13.1,17.0,11.0,6.2,5.26,1.0,12.0,4.8,46.8
3080,25,6.3,2.6,22.0,37.0,8.0,9.2,11.7,3.0,4.5,7.38,8.59,1.0,10.0,0.6,36.0
3086,27,4.7,2.3,27.0,51.0,6.5,6.4,10.5,4.0,4.4,5.82,5.71,7.0,14.0,-0.7,33.9
3092,25,2.3,5.3,35.0,52.0,6.1,4.2,10.8,13.0,8.9,5.0,3.25,1.0,9.0,3.8,32.3
3101,24,4.1,2.6,18.0,58.0,7.3,7.3,11.8,6.0,9.8,5.8,5.8,5.0,27.0,5.2,28.3
3102,27,5.5,2.6,15.0,49.0,7.5,8.5,11.4,4.0,6.8,6.37,7.39,7.0,-1.0,-1.0,28.0
3103,22,2.4,1.2,25.0,31.0,6.0,5.9,10.1,9.0,9.8,4.95,4.89,1.0,10.0,2.3,28.4
3155,26,4.1,2.6,20.0,32.0,6.3,6.3,10.0,5.0,6.4,5.45,5.45,2.0,11.0,2.0,17.6
3156,33,3.8,9.4,22.0,48.0,8.5,5.1,12.6,21.0,6.6,8.55,5.06,7.0,4.0,4.0,16.5
3159,24,4.1,7.7,6.0,17.0,4.0,0.5,7.4,2.0,7.1,3.36,0.14,5.0,28.0,13.1,16.7
3163,34,3.9,3.9,16.0,50.0,5.6,4.6,9.5,5.0,8.9,4.66,3.77,7.0,3.0,0.8,15.7
3205,36,4.1,2.6,12.0,33.0,6.9,6.9,12.7,1.0,2.8,6.53,6.53,7.0,9.0,1.0,10.2
3215,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,9.0
3220,32,4.2,6.3,11.0,29.0,4.0,2.0,10.1,1.0,2.0,3.76,1.82,7.0,-1.0,-1.0,9.4
3226,34,4.2,4.2,8.0,31.0,7.6,6.5,13.0,2.0,7.7,6.46,5.5,7.0,2.0,0.5,9.4
3228,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,11.0,0.1,7.9
3234,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,1.0,7.0,4.5,7.9
3243,26,4.1,2.6,6.0,35.0,5.0,5.0,11.9,3.0,10.3,3.83,3.83,3.0,8.0,2.8,7.4
3250,23,4.8,4.8,6.0,32.0,7.1,6.0,10.7,2.0,8.7,6.22,5.13,7.0,14.0,3.2,6.0
3264,36,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,5.2
3294,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,1.7
3297,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,1.7
3317,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.6
3319,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,0.9
3343,33,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.5,-0.1
3344,31,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-2.0,-2.0,-0.2
3352,30,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,1.0,-0.5,-0.5
3353,35,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,0.4
3358,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-1.3
3360,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.7,-1.5
3366,26,7.1,2.0,195.0,74.0,7.8,8.3,13.0,33.0,6.3,6.73,7.2,59.0,47.0,4.8,389.1
3381,38,5.8,1.1,229.0,76.0,7.6,8.3,11.9,38.0,5.7,6.87,7.48,14.0,13.0,1.6,344.7
3385,27,7.0,1.7,190.0,80.0,8.3,9.0,12.2,45.0,8.5,7.12,7.73,31.0,24.0,5.4,336.3
3400,23,5.8,3.0,220.0,90.0,7.3,7.1,12.5,51.0,7.8,6.25,6.09,24.0,28.0,6.0,316.1
3408,36,6.5,2.0,231.0,68.0,8.7,9.1,13.7,25.0,4.4,8.04,8.41,5.0,12.0,1.0,309.2
3410,36,5.1,1.8,228.0,80.0,7.8,8.0,11.4,31.0,4.7,7.04,7.26,5.0,12.0,0.6,304.2
3414,32,5.4,1.4,177.0,65.0,6.7,7.1,11.0,46.0,7.4,5.67,6.1,20.0,18.0,5.9,301.2
3425,27,5.3,2.0,205.0,78.0,7.7,7.8,11.0,26.0,4.6,6.99,7.14,8.0,13.0,1.8,293.4
3428,27,5.4,2.2,224.0,57.0,7.2,7.3,10.7,44.0,6.9,6.31,6.39,13.0,18.0,3.6,290.8
3431,34,5.7,2.3,206.0,87.0,7.2,7.3,11.5,27.0,4.2,6.63,6.74,5.0,18.0,3.1,287.4
3434,33,5.5,2.7,197.0,69.0,6.9,6.9,11.7,19.0,3.3,6.56,6.46,23.0,19.0,4.5,285.2
3437,34,4.4,2.0,227.0,80.0,7.2,7.2,11.0,40.0,5.7,6.46,6.45,2.0,8.0,1.6,284.5
3439,21,4.1,2.8,201.0,68.0,7.6,7.1,13.0,27.0,4.8,6.85,6.44,19.0,21.0,3.9,275.0
3440,24,5.6,2.3,188.0,68.0,7.0,7.1,11.4,31.0,5.1,6.22,6.31,8.0,24.0,4.2,271.3
3441,31,4.3,1.5,155.0,80.0,7.4,7.6,11.4,45.0,8.7,6.31,6.48,34.0,49.0,5.9,271.2
3442,26,5.3,1.6,129.0,63.0,8.0,8.3,12.5,36.0,8.7,6.79,7.1,28.0,31.0,5.5,271.6
3443,27,4.1,2.0,195.0,54.0,7.2,7.1,11.6,45.0,7.1,6.0,5.91,8.0,28.0,4.4,258.3
3444,28,6.5,1.8,148.0,80.0,8.4,8.9,12.7,20.0,4.9,7.71,8.17,15.0,12.0,2.5,244.2
3445,30,3.4,2.6,228.0,70.0,7.5,7.0,11.3,30.0,4.7,6.81,6.35,9.0,18.0,1.8,233.9
3446,33,4.5,3.4,175.0,69.0,8.4,7.8,12.3,20.0,4.1,7.76,7.15,4.0,13.0,1.9,228.1
3447,32,4.3,2.3,173.0,87.0,7.6,7.4,11.8,29.0,5.7,6.85,6.71,16.0,26.0,5.3,226.5
3448,22,5.1,2.7,142.0,61.0,7.6,7.4,12.3,38.0,9.3,6.27,6.1,11.0,87.0,7.4,211.0
3449,23,3.1,2.0,153.0,52.0,7.2,6.9,11.1,44.0,9.0,5.96,5.7,18.0,19.0,4.4,200.4
3450,28,3.6,2.6,170.0,78.0,7.0,6.5,10.8,28.0,5.0,6.29,5.85,2.0,14.0,1.5,194.9
3451,30,5.1,1.9,130.0,49.0,7.1,7.2,11.6,25.0,6.3,6.14,6.31,6.0,15.0,2.9,166.6
3452,30,3.4,2.9,125.0,50.0,6.8,6.1,10.5,16.0,3.7,6.22,5.61,6.0,16.0,1.8,161.9
3453,36,4.1,1.4,96.0,56.0,7.2,7.4,11.3,23.0,7.3,6.26,6.45,10.0,13.0,4.9,132.2
3454,26,5.1,4.1,92.0,87.0,6.4,5.6,11.6,15.0,4.9,5.82,5.04,13.0,25.0,5.9,130.8
3456,26,3.5,2.5,85.0,71.0,7.2,6.8,11.4,25.0,8.1,6.08,5.71,10.0,44.0,5.8,129.7
3466,25,3.6,2.2,92.0,72.0,7.2,6.9,11.6,23.0,7.7,6.09,5.86,6.0,8.0,2.9,116.8
3474,28,2.5,2.0,73.0,76.0,6.6,6.2,11.2,28.0,10.3,5.33,4.94,15.0,15.0,5.7,110.2
3491,26,2.1,3.0,85.0,68.0,6.1,5.2,10.8,14.0,4.0,5.57,4.68,4.0,10.0,1.2,96.1
3494,23,3.1,2.2,72.0,61.0,6.7,6.3,11.6,19.0,7.9,5.62,5.26,11.0,34.0,6.2,95.0
3499,40,3.5,2.0,87.0,57.0,6.6,6.4,10.8,16.0,5.9,5.84,5.68,2.0,10.0,0.9,91.1
3500,39,2.7,5.1,110.0,75.0,6.8,5.0,11.4,16.0,4.6,6.21,4.52,7.0,-1.0,-1.0,91.4
3546,33,2.5,3.4,112.0,51.0,6.3,5.2,10.7,14.0,6.4,5.46,4.47,7.0,24.0,5.2,66.8
3548,32,3.6,1.4,112.0,67.0,7.5,7.5,10.8,10.0,6.7,6.44,6.51,7.0,11.0,2.9,66.4
3577,25,5.0,1.7,46.0,66.0,7.2,7.4,10.8,12.0,9.2,6.04,6.27,3.0,16.0,2.2,55.3
3600,27,3.2,0.8,42.0,60.0,6.6,6.9,10.9,4.0,3.1,6.2,6.47,2.0,4.0,0.4,43.6
3605,24,2.4,4.2,46.0,57.0,5.6,4.2,9.3,13.0,7.3,4.68,3.36,2.0,5.0,0.9,42.2
3608,35,4.1,5.8,47.0,39.0,7.3,5.5,10.7,6.0,4.7,6.69,4.99,1.0,12.0,3.3,40.7
3613,25,3.6,3.6,26.0,58.0,6.7,5.8,10.8,6.0,6.7,5.73,4.9,11.0,16.0,3.8,38.8
3629,28,1.6,3.2,112.0,48.0,5.9,4.8,10.3,7.0,5.3,5.31,4.25,7.0,11.0,3.3,33.2
3630,26,3.8,5.8,40.0,36.0,7.5,5.7,12.8,5.0,4.6,6.94,5.19,7.0,14.0,-0.5,33.1
3631,29,4.4,4.4,30.0,43.0,6.8,5.7,10.4,9.0,9.0,5.62,4.62,2.0,11.0,3.7,32.8
3638,35,3.0,1.5,14.0,72.0,5.6,5.5,9.3,10.0,13.2,4.18,4.12,5.0,24.0,5.0,30.7
3659,34,3.8,5.0,28.0,48.0,6.8,5.3,10.4,3.0,3.6,6.18,4.73,1.0,7.0,2.5,26.6
3682,28,5.3,1.8,19.0,61.0,6.5,6.8,13.2,5.0,8.1,5.44,5.68,7.0,7.0,3.2,22.8
3683,26,5.5,7.3,19.0,88.0,9.3,7.1,16.0,2.0,3.5,8.7,6.6,7.0,14.0,-1.0,22.0
3699,25,4.8,2.4,14.0,28.0,6.3,6.2,9.8,3.0,6.7,5.47,5.36,1.0,29.0,17.0,20.0
3703,26,1.1,3.2,25.0,42.0,5.8,4.6,9.8,11.0,10.5,4.3,3.2,4.0,17.0,4.7,19.2
3761,34,4.1,2.6,19.0,25.0,8.6,7.4,10.5,1.0,2.5,8.38,7.25,7.0,14.0,3.2,11.4
3767,27,3.6,3.6,7.0,57.0,5.3,4.4,9.9,1.0,3.4,4.9,4.03,3.0,9.0,3.0,10.4
3770,26,6.3,3.1,10.0,14.0,4.4,4.3,6.2,2.0,5.9,3.59,3.44,7.0,14.0,3.2,9.7
3771,32,2.5,2.5,13.0,23.0,5.0,4.4,9.1,21.0,6.6,5.03,4.4,7.0,14.0,3.2,10.0
3777,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,8.8
3788,28,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,8.0
3793,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,6.7
3797,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,6.4
3803,26,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,6.3
3821,33,4.1,3.1,112.0,33.0,4.7,3.3,9.4,5.0,13.5,3.3,2.08,7.0,2.0,0.5,4.1
3823,27,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,6.0,1.0,4.7
3851,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,2.0,-0.3,1.2
3857,32,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,0.7
3864,23,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,3.2,1.2
3880,29,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,73.0
3881,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.3
3883,35,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.3,0.1
3886,31,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,14.0,-0.7,0.4
3888,24,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-1.0,-1.0,-0.1
3896,31,4.1,8.0,6.0,21.0,4.2,0.6,9.5,2.0,7.4,3.56,0.22,7.0,-1.0,-1.0,-1.1
3898,25,4.1,2.6,112.0,63.0,7.0,6.6,11.2,21.0,6.6,6.05,5.73,7.0,-4.0,-4.0,-2.0
3912,31,7.3,1.0,221.0,80.0,8.4,9.5,12.8,28.0,5.1,7.68,8.65,22.0,19.0,6.3,354.1
3913,25,6.5,2.6,235.0,80.0,7.7,7.9,12.5,27.0,4.2,7.15,7.28,20.0,20.0,4.3,351.7
3921,26,4.4,1.5,161.0,80.0,7.7,7.9,12.2,42.0,8.5,6.54,6.72,47.0,55.0,7.2,330.6
3931,38,6.5,2.5,227.0,86.0,7.9,8.1,12.0,17.0,2.8,7.51,7.68,7.0,4.0,-1.0,312.7
3936,32,5.3,1.5,244.0,94.0,8.1,8.5,12.1,33.0,5.1,7.46,7.82,6.0,8.0,0.8,306.2
3938,35,5.0,2.6,259.0,69.0,7.5,7.4,10.9,29.0,4.2,6.93,6.77,6.0,13.0,2.5,304.0
3953,29,4.5,2.2,233.0,79.0,7.5,7.4,11.3,31.0,4.7,6.81,6.71,10.0,15.0,5.0,284.3
3960,26,4.6,2.0,225.0,50.0,6.9,6.9,10.3,46.0,7.2,5.83,5.83,18.0,40.0,5.6,279.5
3961,37,5.7,1.5,221.0,69.0,7.1,7.5,11.0,21.0,3.5,6.59,7.01,11.0,17.0,1.6,278.1
3968,33,5.0,2.3,219.0,80.0,7.3,7.3,11.6,28.0,4.5,6.71,6.67,4.0,18.0,2.6,269.5
3972,34,7.8,2.1,191.0,68.0,8.5,9.1,12.2,29.0,6.3,7.52,8.11,6.0,21.0,2.3,266.3
3974,33,5.4,3.2,213.0,59.0,7.5,7.2,11.3,36.0,5.9,6.76,6.45,11.0,17.0,2.8,265.6
3977,29,4.9,2.2,194.0,80.0,7.2,7.2,11.6,19.0,3.3,6.66,6.66,17.0,15.0,1.8,262.4
3978,31,5.0,3.2,181.0,74.0,6.8,6.3,10.3,38.0,6.3,5.99,5.57,14.0,25.0,4.9,255.6
3979,26,3.7,2.0,212.0,73.0,7.1,6.9,11.7,45.0,7.0,6.19,6.03,11.0,18.0,2.2,251.6
3980,27,4.0,2.1,164.0,80.0,7.0,6.9,11.7,52.0,9.8,5.71,5.58,28.0,90.0,6.1,250.7
3981,25,4.0,2.7,156.0,51.0,7.0,6.6,11.9,38.0,7.8,5.82,5.45,48.0,22.0,5.2,249.0
3982,27,4.0,3.5,160.0,81.0,7.1,6.3,11.0,21.0,4.2,6.52,5.75,21.0,20.0,2.8,225.6
3983,30,3.9,1.3,179.0,70.0,7.0,7.2,10.8,45.0,8.8,5.96,6.14,15.0,25.0,5.2,220.0
3984,23,3.5,2.0,163.0,77.0,5.5,5.3,9.4,24.0,3.9,5.01,4.82,12.0,41.0,3.2,192.0
3985,22,3.5,3.0,137.0,87.0,7.3,6.6,11.3,39.0,8.8,6.05,5.46,15.0,16.0,4.4,179.7
3986,32,5.4,2.6,120.0,76.0,8.0,7.9,12.6,21.0,6.3,7.21,7.15,13.0,16.0,3.7,179.7
3987,32,4.0,2.2,148.0,84.0,6.8,6.6,10.5,33.0,6.9,5.88,5.69,2.0,10.0,0.9,176.1
3988,22,2.3,3.6,136.0,63.0,6.1,5.0,10.4,55.0,10.4,4.84,3.81,29.0,34.0,7.5,168.2
3989,29,2.7,3.0,163.0,81.0,7.6,6.8,13.7,24.0,5.2,6.85,6.11,5.0,11.0,1.6,156.9
3990,24,3.5,3.5,119.0,74.0,6.9,6.0,11.5,28.0,7.1,5.95,5.13,18.0,18.0,4.0,150.8
3991,28,4.5,3.6,119.0,72.0,7.8,7.1,12.2,23.0,6.9,6.83,6.18,5.0,15.0,2.6,139.4
3992,35,3.4,4.3,100.0,56.0,6.7,5.5,12.0,36.0,9.9,5.43,4.3,12.0,16.0,5.1,126.9
