,Year,Age,Passing_TD%,Passing_Int%,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
2743,2017,23,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,6.5
2754,2017,24,4.1,4.3,31.0,5.5,3.5,11.5,20.7,2.69,1.14,-1.0,-1.0,2.9
2756,2017,27,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,2.6
2766,2017,35,2.4,4.8,17.0,3.9,2.2,6.5,16.0,2.64,1.24,14.0,3.2,2.5
2783,2017,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,2.0,2.0,0.6
2790,2017,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,15.0,6.5,1.4
2794,2017,34,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,0.5
2795,2017,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,0.4
2797,2017,31,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,-0.7,-0.2
2798,2017,28,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-0.1
2810,2017,34,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-1.1
2811,2017,32,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-0.5
2816,2017,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,-1.0
2817,2017,26,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,-2.0
2818,2017,25,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-2.3
2822,2016,33,6.6,1.1,66.0,7.3,8.1,11.0,5.4,6.48,7.24,23.0,5.5,380.0
2828,2016,31,7.1,1.3,76.0,9.3,10.1,13.3,6.5,8.25,9.03,18.0,3.3,347.5
2833,2016,37,5.5,2.2,98.0,7.7,7.8,11.1,3.9,7.18,7.27,7.0,0.9,332.3
2841,2016,27,5.7,2.4,64.0,7.8,7.8,12.3,7.0,6.78,6.84,33.0,5.3,307.7
2845,2016,28,4.1,2.0,80.0,8.1,8.0,12.1,3.7,7.52,7.45,19.0,2.8,300.3
2857,2016,23,5.0,0.9,83.0,8.0,8.6,11.8,5.2,7.28,7.86,18.0,4.9,286.9
2866,2016,28,4.0,1.7,73.0,7.3,7.3,11.2,5.9,6.52,6.56,24.0,5.6,279.8
2874,2016,27,3.9,1.4,84.0,6.9,7.1,11.2,8.8,5.92,6.07,49.0,6.1,270.9
2877,2016,24,3.7,2.6,51.0,6.2,5.8,10.6,5.2,5.63,5.23,27.0,6.2,271.1
2879,2016,25,5.0,1.1,75.0,7.0,7.5,11.0,2.8,6.7,7.2,13.0,1.8,268.5
2881,2016,28,3.8,2.0,59.0,7.7,7.6,12.0,7.0,6.69,6.56,18.0,3.6,270.1
2894,2016,29,3.2,1.4,86.0,7.5,7.5,11.6,6.8,6.53,6.53,15.0,4.0,260.6
2898,2016,23,5.8,2.0,60.0,7.6,7.9,12.4,4.9,6.9,7.14,41.0,5.8,259.9
2899,2016,39,6.5,0.5,79.0,8.2,9.3,12.2,3.4,7.76,8.81,15.0,2.3,258.6
2900,2016,35,5.7,3.6,59.0,7.6,7.1,12.6,5.9,6.84,6.37,10.0,2.5,258.9
2901,2016,22,4.9,3.2,45.0,7.2,6.8,11.9,5.8,6.4,5.98,14.0,3.1,256.1
2902,2016,27,3.7,2.7,88.0,6.9,6.4,13.0,6.6,5.92,5.46,28.0,4.0,254.3
2903,2016,34,5.7,2.6,72.0,7.5,7.5,11.6,3.2,6.99,6.98,14.0,0.9,252.2
2904,2016,37,4.4,2.3,80.0,7.1,6.9,11.6,6.3,6.2,6.03,16.0,2.7,243.1
2905,2016,31,3.0,2.2,95.0,6.4,6.0,9.9,4.7,5.78,5.39,16.0,2.8,242.5
2906,2016,35,4.3,2.7,75.0,6.7,6.4,10.7,3.4,6.28,5.95,6.0,-0.4,224.2
2907,2016,32,3.1,1.6,80.0,7.2,7.0,10.7,5.4,6.5,6.39,24.0,2.8,224.8
2908,2016,29,3.6,0.9,71.0,7.0,7.3,9.8,6.3,6.11,6.41,24.0,2.7,221.9
2909,2016,24,2.6,2.3,73.0,6.2,5.7,10.0,5.2,5.58,5.09,17.0,3.3,214.0
2910,2016,29,4.8,1.2,65.0,6.8,7.2,11.4,9.8,5.54,5.92,30.0,6.8,200.4
2911,2016,25,3.7,2.1,76.0,7.0,6.8,11.8,6.0,6.22,6.04,14.0,2.0,191.7
2912,2016,28,4.9,3.1,74.0,7.7,7.3,11.5,6.9,6.65,6.27,18.0,4.2,190.2
2913,2016,26,2.9,3.1,53.0,5.8,5.0,9.8,5.0,5.12,4.34,21.0,4.4,169.0
2914,2016,34,3.0,4.2,57.0,6.7,5.4,11.9,4.5,6.23,4.99,14.0,3.9,133.4
2933,2016,28,2.8,3.4,65.0,6.8,5.9,11.2,6.7,5.97,5.06,13.0,2.6,111.1
2975,2016,31,3.0,2.6,64.0,7.2,7.8,10.8,2.0,7.0,7.58,3.0,-0.3,79.6
2982,2016,23,3.1,1.0,44.0,7.1,7.2,10.8,9.7,5.74,5.88,8.0,1.6,77.0
2989,2016,27,3.1,3.8,75.0,5.8,4.7,10.2,6.4,5.13,4.13,24.0,4.3,73.7
2995,2016,26,3.7,6.5,37.0,7.5,5.3,12.5,2.7,7.06,4.95,5.0,0.3,71.8
3006,2016,26,1.4,2.0,58.0,6.0,5.4,10.2,13.0,4.43,3.86,20.0,6.1,66.4
3025,2016,32,9.2,3.4,66.0,8.3,8.6,13.1,1.1,8.19,8.48,-1.0,-1.0,54.7
3033,2016,22,2.4,3.4,66.0,5.3,4.3,9.7,11.3,3.75,2.82,6.0,2.0,53.2
3036,2016,37,3.6,3.6,54.0,6.7,5.8,12.2,9.8,5.32,4.5,7.0,3.0,52.1
3045,2016,33,2.9,3.6,54.0,7.7,6.7,13.1,11.0,6.2,5.26,12.0,4.8,46.8
3080,2016,25,6.3,2.6,37.0,8.0,9.2,11.7,4.5,7.38,8.59,10.0,0.6,36.0
3086,2016,27,4.7,2.3,51.0,6.5,6.4,10.5,4.4,5.82,5.71,14.0,-0.7,33.9
3092,2016,25,2.3,5.3,52.0,6.1,4.2,10.8,8.9,5.0,3.25,9.0,3.8,32.3
3101,2016,24,4.1,2.6,58.0,7.3,7.3,11.8,9.8,5.8,5.8,27.0,5.2,28.3
3102,2016,27,5.5,2.6,49.0,7.5,8.5,11.4,6.8,6.37,7.39,-1.0,-1.0,28.0
3103,2016,22,2.4,1.2,31.0,6.0,5.9,10.1,9.8,4.95,4.89,10.0,2.3,28.4
3155,2016,26,4.1,2.6,32.0,6.3,6.3,10.0,6.4,5.45,5.45,11.0,2.0,17.6
3156,2016,33,3.8,9.4,48.0,8.5,5.1,12.6,6.6,8.55,5.06,4.0,4.0,16.5
3159,2016,24,4.1,7.7,17.0,4.0,0.5,7.4,7.1,3.36,0.14,28.0,13.1,16.7
3163,2016,34,3.9,3.9,50.0,5.6,4.6,9.5,8.9,4.66,3.77,3.0,0.8,15.7
3205,2016,36,4.1,2.6,33.0,6.9,6.9,12.7,2.8,6.53,6.53,9.0,1.0,10.2
3215,2016,27,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,9.0
3220,2016,32,4.2,6.3,29.0,4.0,2.0,10.1,2.0,3.76,1.82,-1.0,-1.0,9.4
3226,2016,34,4.2,4.2,31.0,7.6,6.5,13.0,7.7,6.46,5.5,2.0,0.5,9.4
3228,2016,23,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,11.0,0.1,7.9
3234,2016,26,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,7.0,4.5,7.9
3243,2016,26,4.1,2.6,35.0,5.0,5.0,11.9,10.3,3.83,3.83,8.0,2.8,7.4
3250,2016,23,4.8,4.8,32.0,7.1,6.0,10.7,8.7,6.22,5.13,14.0,3.2,6.0
3264,2016,36,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,5.2
3294,2016,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,1.7
3297,2016,27,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,1.7
3317,2016,30,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,0.6
3319,2016,26,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,0.9
3343,2016,33,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,-0.5,-0.1
3344,2016,31,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-2.0,-2.0,-0.2
3352,2016,30,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,1.0,-0.5,-0.5
3353,2016,35,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,0.4
3358,2016,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-1.3
3360,2016,23,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,-0.7,-1.5
3366,2015,26,7.1,2.0,74.0,7.8,8.3,13.0,6.3,6.73,7.2,47.0,4.8,389.1
3381,2015,38,5.8,1.1,76.0,7.6,8.3,11.9,5.7,6.87,7.48,13.0,1.6,344.7
3385,2015,27,7.0,1.7,80.0,8.3,9.0,12.2,8.5,7.12,7.73,24.0,5.4,336.3
3400,2015,23,5.8,3.0,90.0,7.3,7.1,12.5,7.8,6.25,6.09,28.0,6.0,316.1
3408,2015,36,6.5,2.0,68.0,8.7,9.1,13.7,4.4,8.04,8.41,12.0,1.0,309.2
3410,2015,36,5.1,1.8,80.0,7.8,8.0,11.4,4.7,7.04,7.26,12.0,0.6,304.2
3414,2015,32,5.4,1.4,65.0,6.7,7.1,11.0,7.4,5.67,6.1,18.0,5.9,301.2
3425,2015,27,5.3,2.0,78.0,7.7,7.8,11.0,4.6,6.99,7.14,13.0,1.8,293.4
3428,2015,27,5.4,2.2,57.0,7.2,7.3,10.7,6.9,6.31,6.39,18.0,3.6,290.8
3431,2015,34,5.7,2.3,87.0,7.2,7.3,11.5,4.2,6.63,6.74,18.0,3.1,287.4
3434,2015,33,5.5,2.7,69.0,6.9,6.9,11.7,3.3,6.56,6.46,19.0,4.5,285.2
3437,2015,34,4.4,2.0,80.0,7.2,7.2,11.0,5.7,6.46,6.45,8.0,1.6,284.5
3439,2015,21,4.1,2.8,68.0,7.6,7.1,13.0,4.8,6.85,6.44,21.0,3.9,275.0
3440,2015,24,5.6,2.3,68.0,7.0,7.1,11.4,5.1,6.22,6.31,24.0,4.2,271.3
3441,2015,31,4.3,1.5,80.0,7.4,7.6,11.4,8.7,6.31,6.48,49.0,5.9,271.2
3442,2015,26,5.3,1.6,63.0,8.0,8.3,12.5,8.7,6.79,7.1,31.0,5.5,271.6
3443,2015,27,4.1,2.0,54.0,7.2,7.1,11.6,7.1,6.0,5.91,28.0,4.4,258.3
3444,2015,28,6.5,1.8,80.0,8.4,8.9,12.7,4.9,7.71,8.17,12.0,2.5,244.2
3445,2015,30,3.4,2.6,70.0,7.5,7.0,11.3,4.7,6.81,6.35,18.0,1.8,233.9
3446,2015,33,4.5,3.4,69.0,8.4,7.8,12.3,4.1,7.76,7.15,13.0,1.9,228.1
3447,2015,32,4.3,2.3,87.0,7.6,7.4,11.8,5.7,6.85,6.71,26.0,5.3,226.5
3448,2015,22,5.1,2.7,61.0,7.6,7.4,12.3,9.3,6.27,6.1,87.0,7.4,211.0
3449,2015,23,3.1,2.0,52.0,7.2,6.9,11.1,9.0,5.96,5.7,19.0,4.4,200.4
3450,2015,28,3.6,2.6,78.0,7.0,6.5,10.8,5.0,6.29,5.85,14.0,1.5,194.9
3451,2015,30,5.1,1.9,49.0,7.1,7.2,11.6,6.3,6.14,6.31,15.0,2.9,166.6
3452,2015,30,3.4,2.9,50.0,6.8,6.1,10.5,3.7,6.22,5.61,16.0,1.8,161.9
3453,2015,36,4.1,1.4,56.0,7.2,7.4,11.3,7.3,6.26,6.45,13.0,4.9,132.2
3454,2015,26,5.1,4.1,87.0,6.4,5.6,11.6,4.9,5.82,5.04,25.0,5.9,130.8
3456,2015,26,3.5,2.5,71.0,7.2,6.8,11.4,8.1,6.08,5.71,44.0,5.8,129.7
3466,2015,25,3.6,2.2,72.0,7.2,6.9,11.6,7.7,6.09,5.86,8.0,2.9,116.8
3474,2015,28,2.5,2.0,76.0,6.6,6.2,11.2,10.3,5.33,4.94,15.0,5.7,110.2
3491,2015,26,2.1,3.0,68.0,6.1,5.2,10.8,4.0,5.57,4.68,10.0,1.2,96.1
3494,2015,23,3.1,2.2,61.0,6.7,6.3,11.6,7.9,5.62,5.26,34.0,6.2,95.0
3499,2015,40,3.5,2.0,57.0,6.6,6.4,10.8,5.9,5.84,5.68,10.0,0.9,91.1
3500,2015,39,2.7,5.1,75.0,6.8,5.0,11.4,4.6,6.21,4.52,-1.0,-1.0,91.4
3546,2015,33,2.5,3.4,51.0,6.3,5.2,10.7,6.4,5.46,4.47,24.0,5.2,66.8
3548,2015,32,3.6,1.4,67.0,7.5,7.5,10.8,6.7,6.44,6.51,11.0,2.9,66.4
3577,2015,25,5.0,1.7,66.0,7.2,7.4,10.8,9.2,6.04,6.27,16.0,2.2,55.3
3600,2015,27,3.2,0.8,60.0,6.6,6.9,10.9,3.1,6.2,6.47,4.0,0.4,43.6
3605,2015,24,2.4,4.2,57.0,5.6,4.2,9.3,7.3,4.68,3.36,5.0,0.9,42.2
3608,2015,35,4.1,5.8,39.0,7.3,5.5,10.7,4.7,6.69,4.99,12.0,3.3,40.7
3613,2015,25,3.6,3.6,58.0,6.7,5.8,10.8,6.7,5.73,4.9,16.0,3.8,38.8
3629,2015,28,1.6,3.2,48.0,5.9,4.8,10.3,5.3,5.31,4.25,11.0,3.3,33.2
3630,2015,26,3.8,5.8,36.0,7.5,5.7,12.8,4.6,6.94,5.19,14.0,-0.5,33.1
3631,2015,29,4.4,4.4,43.0,6.8,5.7,10.4,9.0,5.62,4.62,11.0,3.7,32.8
3638,2015,35,3.0,1.5,72.0,5.6,5.5,9.3,13.2,4.18,4.12,24.0,5.0,30.7
3659,2015,34,3.8,5.0,48.0,6.8,5.3,10.4,3.6,6.18,4.73,7.0,2.5,26.6
3682,2015,28,5.3,1.8,61.0,6.5,6.8,13.2,8.1,5.44,5.68,7.0,3.2,22.8
3683,2015,26,5.5,7.3,88.0,9.3,7.1,16.0,3.5,8.7,6.6,14.0,-1.0,22.0
3699,2015,25,4.8,2.4,28.0,6.3,6.2,9.8,6.7,5.47,5.36,29.0,17.0,20.0
3703,2015,26,1.1,3.2,42.0,5.8,4.6,9.8,10.5,4.3,3.2,17.0,4.7,19.2
3761,2015,34,4.1,2.6,25.0,8.6,7.4,10.5,2.5,8.38,7.25,14.0,3.2,11.4
3767,2015,27,3.6,3.6,57.0,5.3,4.4,9.9,3.4,4.9,4.03,9.0,3.0,10.4
3770,2015,26,6.3,3.1,14.0,4.4,4.3,6.2,5.9,3.59,3.44,14.0,3.2,9.7
3771,2015,32,2.5,2.5,23.0,5.0,4.4,9.1,6.6,5.03,4.4,14.0,3.2,10.0
3777,2015,29,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,8.8
3788,2015,28,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,8.0
3793,2015,25,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,6.7
3797,2015,32,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,6.4
3803,2015,26,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,6.3
3821,2015,33,4.1,3.1,33.0,4.7,3.3,9.4,13.5,3.3,2.08,2.0,0.5,4.1
3823,2015,27,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,6.0,1.0,4.7
3851,2015,32,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,2.0,-0.3,1.2
3857,2015,32,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,0.7
3864,2015,23,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,3.2,1.2
3880,2015,29,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,73.0
3881,2015,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-0.3
3883,2015,35,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.3,0.1
3886,2015,31,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,14.0,-0.7,0.4
3888,2015,24,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-1.0,-1.0,-0.1
3896,2015,31,4.1,8.0,21.0,4.2,0.6,9.5,7.4,3.56,0.22,-1.0,-1.0,-1.1
3898,2015,25,4.1,2.6,63.0,7.0,6.6,11.2,6.6,6.05,5.73,-4.0,-4.0,-2.0
3912,2014,31,7.3,1.0,80.0,8.4,9.5,12.8,5.1,7.68,8.65,19.0,6.3,354.1
3913,2014,25,6.5,2.6,80.0,7.7,7.9,12.5,4.2,7.15,7.28,20.0,4.3,351.7
3921,2014,26,4.4,1.5,80.0,7.7,7.9,12.2,8.5,6.54,6.72,55.0,7.2,330.6
3931,2014,38,6.5,2.5,86.0,7.9,8.1,12.0,2.8,7.51,7.68,4.0,-1.0,312.7
3936,2014,32,5.3,1.5,94.0,8.1,8.5,12.1,5.1,7.46,7.82,8.0,0.8,306.2
3938,2014,35,5.0,2.6,69.0,7.5,7.4,10.9,4.2,6.93,6.77,13.0,2.5,304.0
3953,2014,29,4.5,2.2,79.0,7.5,7.4,11.3,4.7,6.81,6.71,15.0,5.0,284.3
3960,2014,26,4.6,2.0,50.0,6.9,6.9,10.3,7.2,5.83,5.83,40.0,5.6,279.5
3961,2014,37,5.7,1.5,69.0,7.1,7.5,11.0,3.5,6.59,7.01,17.0,1.6,278.1
3968,2014,33,5.0,2.3,80.0,7.3,7.3,11.6,4.5,6.71,6.67,18.0,2.6,269.5
3972,2014,34,7.8,2.1,68.0,8.5,9.1,12.2,6.3,7.52,8.11,21.0,2.3,266.3
3974,2014,33,5.4,3.2,59.0,7.5,7.2,11.3,5.9,6.76,6.45,17.0,2.8,265.6
3977,2014,29,4.9,2.2,80.0,7.2,7.2,11.6,3.3,6.66,6.66,15.0,1.8,262.4
3978,2014,31,5.0,3.2,74.0,6.8,6.3,10.3,6.3,5.99,5.57,25.0,4.9,255.6
3979,2014,26,3.7,2.0,73.0,7.1,6.9,11.7,7.0,6.19,6.03,18.0,2.2,251.6
3980,2014,27,4.0,2.1,80.0,7.0,6.9,11.7,9.8,5.71,5.58,90.0,6.1,250.7
3981,2014,25,4.0,2.7,51.0,7.0,6.6,11.9,7.8,5.82,5.45,22.0,5.2,249.0
3982,2014,27,4.0,3.5,81.0,7.1,6.3,11.0,4.2,6.52,5.75,20.0,2.8,225.6
3983,2014,30,3.9,1.3,70.0,7.0,7.2,10.8,8.8,5.96,6.14,25.0,5.2,220.0
3984,2014,23,3.5,2.0,77.0,5.5,5.3,9.4,3.9,5.01,4.82,41.0,3.2,192.0
3985,2014,22,3.5,3.0,87.0,7.3,6.6,11.3,8.8,6.05,5.46,16.0,4.4,179.7
3986,2014,32,5.4,2.6,76.0,8.0,7.9,12.6,6.3,7.21,7.15,16.0,3.7,179.7
3987,2014,32,4.0,2.2,84.0,6.8,6.6,10.5,6.9,5.88,5.69,10.0,0.9,176.1
3988,2014,22,2.3,3.6,63.0,6.1,5.0,10.4,10.4,4.84,3.81,34.0,7.5,168.2
3989,2014,29,2.7,3.0,81.0,7.6,6.8,13.7,5.2,6.85,6.11,11.0,1.6,156.9
3990,2014,24,3.5,3.5,74.0,6.9,6.0,11.5,7.1,5.95,5.13,18.0,4.0,150.8
3991,2014,28,4.5,3.6,72.0,7.8,7.1,12.2,6.9,6.83,6.18,15.0,2.6,139.4
3992,2014,35,3.4,4.3,56.0,6.7,5.5,12.0,9.9,5.43,4.3,16.0,5.1,126.9
