,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32.0,2021,243.96899999999977,262.8,-18.831000000000245
4,George Kittle,TE,28.0,2021,190.06799999999993,198.0,-7.932000000000073
3,George Kittle,TE,28.0,2021,167.45600000000005,198.0,-30.543999999999954
23,Darren Waller,TE,29.0,2021,167.2690000000001,133.5,33.76900000000009
0,Mark Andrews,TE,26.0,2021,161.2150000000001,301.1,-139.88499999999993
5,Rob Gronkowski,TE,32.0,2021,156.8159999999999,171.2,-14.3840000000001
28,Evan Engram,TE,27.0,2021,147.86599999999993,102.5,45.36599999999993
19,Jared Cook,TE,34.0,2021,145.07399999999987,132.4,12.673999999999864
18,Jared Cook,TE,34.0,2021,144.28199999999987,132.4,11.881999999999863
17,Tyler Higbee,TE,28.0,2021,141.003,147.0,-5.997000000000014
15,Noah Fant,TE,24.0,2021,140.84199999999993,159.0,-18.158000000000072
83,Eric Ebron,TE,28.0,2021,136.78299999999993,32.5,104.28299999999993
16,Tyler Higbee,TE,28.0,2021,129.46800000000007,147.0,-17.531999999999925
45,Jonnu Smith,TE,26.0,2021,126.04999999999998,67.4,58.64999999999998
59,Jimmy Graham,TE,35.0,2021,122.70500000000006,50.7,72.00500000000005
9,Hunter Henry,TE,27.0,2021,120.63699999999992,164.3,-43.663000000000096
8,Hunter Henry,TE,27.0,2021,120.63699999999992,164.3,-43.663000000000096
13,Mike Gesicki,TE,26.0,2021,116.11066666666673,165.0,-48.88933333333327
20,T.J. Hockenson,TE,24.0,2021,111.237,145.3,-34.06300000000002
31,Austin Hooper,TE,27.0,2021,109.698,92.5,17.197999999999993
11,Dallas Goedert,TE,26.0,2021,103.14599999999999,165.0,-61.85400000000001
88,O.J. Howard,TE,27.0,2021,100.65300000000005,33.5,67.15300000000005
7,Hunter Henry,TE,27.0,2021,97.74299999999998,164.3,-66.55700000000003
2,Dalton Schultz,TE,25.0,2021,93.93299999999999,208.8,-114.86700000000002
68,Robert Tonyan,TE,27.0,2021,92.80200000000008,50.4,42.40200000000008
69,Robert Tonyan,TE,27.0,2021,92.80200000000008,50.4,42.40200000000008
67,Kyle Rudolph,TE,32.0,2021,89.53699999999998,59.7,29.836999999999975
10,Dallas Goedert,TE,26.0,2021,87.39499999999998,165.0,-77.60500000000002
43,Ricky Seals-Jones,TE,26.0,2021,87.24116666666669,69.1,18.14116666666669
54,Hayden Hurst,TE,28.0,2021,85.00049999999999,64.1,20.900499999999994
44,Ricky Seals-Jones,TE,26.0,2021,84.07533333333336,69.1,14.975333333333367
73,Will Dissly,TE,25.0,2021,83.97599999999998,50.1,33.87599999999998
12,Mike Gesicki,TE,26.0,2021,83.35049999999997,165.0,-81.64950000000003
14,Zach Ertz,TE,31.0,2021,82.74799999999999,180.7,-97.952
72,Will Dissly,TE,25.0,2021,80.42566666666664,50.1,30.325666666666642
56,Hayden Hurst,TE,28.0,2021,79.13249999999996,64.1,15.03249999999997
34,Cameron Brate,TE,30.0,2021,78.15000000000002,78.5,-0.3499999999999801
142,Darren Fells,TE,35.0,2021,77.21599999999995,8.3,68.91599999999995
138,Darren Fells,TE,35.0,2021,77.05099999999996,8.3,68.75099999999996
141,Darren Fells,TE,35.0,2021,77.05099999999996,8.3,68.75099999999996
140,Darren Fells,TE,35.0,2021,77.05099999999996,8.3,68.75099999999996
87,Marcedes Lewis,TE,37.0,2021,76.99066666666664,44.4,32.59066666666664
38,Dan Arnold,TE,26.0,2021,76.54900000000002,75.8,0.7490000000000236
139,Darren Fells,TE,35.0,2021,74.84899999999998,8.3,66.54899999999998
39,Dan Arnold,TE,26.0,2021,74.814,75.8,-0.9860000000000042
55,Hayden Hurst,TE,28.0,2021,74.69049999999997,64.1,10.590499999999977
187,Nick Boyle,TE,28.0,2021,73.68899999999996,1.2,72.48899999999996
27,Cole Kmet,TE,22.0,2021,73.07483333333334,121.2,-48.12516666666666
188,Nick Boyle,TE,28.0,2021,72.07583333333332,1.2,70.87583333333332
189,Nick Boyle,TE,28.0,2021,72.07583333333332,1.2,70.87583333333332
29,Mo Alie-Cox,TE,28.0,2021,71.89208571428567,79.6,-7.707914285714324
30,Mo Alie-Cox,TE,28.0,2021,71.89208571428567,79.6,-7.707914285714324
51,Durham Smythe,TE,26.0,2021,71.45000000000003,70.0,1.4500000000000313
49,Durham Smythe,TE,26.0,2021,71.45000000000003,70.0,1.4500000000000313
21,T.J. Hockenson,TE,24.0,2021,71.44399999999996,145.3,-73.85600000000005
35,Anthony Firkser,TE,26.0,2021,71.13246511627901,79.1,-7.967534883720987
36,Anthony Firkser,TE,26.0,2021,71.13246511627901,79.1,-7.967534883720987
126,Chris Herndon,TE,25.0,2021,70.43499999999997,14.0,56.434999999999974
181,Eric Tomlinson,TE,29.0,2021,70.184,1.7,68.484
82,Blake Jarwin,TE,27.0,2021,70.10499999999999,32.6,37.50499999999999
186,Nick Boyle,TE,28.0,2021,69.58799999999998,1.2,68.38799999999998
163,Derek Carrier,TE,31.0,2021,69.16499999999996,3.3,65.86499999999997
26,Gerald Everett,TE,27.0,2021,69.05200000000002,117.8,-48.747999999999976
127,Chris Herndon,TE,25.0,2021,68.65775000000001,14.0,54.65775000000001
180,Eric Tomlinson,TE,29.0,2021,68.11500000000001,1.7,66.415
6,Dawson Knox,TE,25.0,2021,67.92500000000004,164.1,-96.17499999999995
183,Eric Tomlinson,TE,29.0,2021,67.73700000000001,1.7,66.037
185,Eric Tomlinson,TE,29.0,2021,67.73700000000001,1.7,66.037
184,Eric Tomlinson,TE,29.0,2021,67.73700000000001,1.7,66.037
84,Eric Ebron,TE,28.0,2021,66.99699999999999,32.5,34.496999999999986
50,Durham Smythe,TE,26.0,2021,66.21000000000005,70.0,-3.7899999999999494
92,Nick Vannett,TE,28.0,2021,65.98266666666666,28.3,37.68266666666666
60,Jimmy Graham,TE,35.0,2021,64.06300000000002,50.7,13.363000000000014
162,Derek Carrier,TE,31.0,2021,63.25099999999997,3.3,59.95099999999997
166,Derek Carrier,TE,31.0,2021,63.25099999999997,3.3,59.95099999999997
165,Derek Carrier,TE,31.0,2021,63.25099999999997,3.3,59.95099999999997
164,Derek Carrier,TE,31.0,2021,63.25099999999997,3.3,59.95099999999997
168,Derek Carrier,TE,31.0,2021,63.25099999999997,3.3,59.95099999999997
167,Derek Carrier,TE,31.0,2021,61.99699999999997,3.3,58.696999999999974
75,Maxx Williams,TE,27.0,2021,59.84299999999994,41.3,18.542999999999942
109,Drew Sample,TE,25.0,2021,59.76399999999999,19.1,40.66399999999999
74,Maxx Williams,TE,27.0,2021,59.656999999999925,41.3,18.35699999999993
25,David Njoku,TE,25.0,2021,59.07033333333336,107.6,-48.529666666666635
182,Eric Tomlinson,TE,29.0,2021,56.06999999999997,1.7,54.36999999999997
62,Logan Thomas,TE,30.0,2021,55.27586652930404,53.6,1.675866529304038
61,Logan Thomas,TE,30.0,2021,55.27586652930404,53.6,1.675866529304038
63,Logan Thomas,TE,30.0,2021,55.27586652930404,53.6,1.675866529304038
91,Nick Vannett,TE,28.0,2021,55.01399999999999,28.3,26.713999999999988
110,Drew Sample,TE,25.0,2021,54.77799999999998,19.1,35.677999999999976
105,Chris Manhertz,TE,29.0,2021,54.75899999999996,19.1,35.658999999999956
169,Demetrius Harris,TE,30.0,2021,54.35077976123891,4.0,50.35077976123891
170,Demetrius Harris,TE,30.0,2021,54.35077976123891,4.0,50.35077976123891
104,Chris Manhertz,TE,29.0,2021,54.18119999999993,19.1,35.08119999999993
107,Chris Manhertz,TE,29.0,2021,54.18119999999993,19.1,35.08119999999993
179,Eric Tomlinson,TE,29.0,2021,53.140999999999984,1.7,51.44099999999998
70,James O'Shaughnessy,TE,29.0,2021,52.74372222222217,50.4,2.343722222222169
71,James O'Shaughnessy,TE,29.0,2021,52.74372222222217,50.4,2.343722222222169
111,Drew Sample,TE,25.0,2021,52.61999999999998,19.1,33.51999999999998
108,Drew Sample,TE,25.0,2021,52.61999999999998,19.1,33.51999999999998
93,Nick Vannett,TE,28.0,2021,52.10699999999998,28.3,23.806999999999977
64,Adam Trautman,TE,24.0,2021,50.85400000000001,63.3,-12.445999999999984
106,Chris Manhertz,TE,29.0,2021,50.433199999999964,19.1,31.333199999999962
159,Kaden Smith,TE,24.0,2021,49.76099999999999,6.3,43.46099999999999
174,Johnny Mundt,TE,27.0,2021,49.16600000000001,1.9,47.26600000000001
172,Johnny Mundt,TE,27.0,2021,49.16600000000001,1.9,47.26600000000001
89,Ian Thomas,TE,25.0,2021,49.14566666666668,36.8,12.34566666666668
40,Harrison Bryant,TE,23.0,2021,49.07275000000001,62.3,-13.227249999999984
171,Johnny Mundt,TE,27.0,2021,48.25599999999999,1.9,46.355999999999995
33,Jack Doyle,TE,31.0,2021,48.062,79.2,-31.138000000000005
112,Lee Smith,TE,34.0,2021,48.00848333333337,21.5,26.508483333333373
32,Foster Moreau,TE,24.0,2021,47.300999999999995,85.3,-37.999
78,Stephen Anderson,TE,28.0,2021,47.102000000000025,38.5,8.602000000000025
79,Stephen Anderson,TE,28.0,2021,46.99500000000003,38.5,8.495000000000033
118,Ross Dwelley,TE,26.0,2021,46.80633333333334,15.1,31.70633333333334
137,Charlie Woerner,TE,24.0,2021,46.49000000000004,10.2,36.290000000000035
136,Charlie Woerner,TE,24.0,2021,46.49000000000004,10.2,36.290000000000035
113,Jacob Hollister,TE,28.0,2021,45.591020000000015,20.5,25.091020000000015
155,Jeremy Sprinkle,TE,27.0,2021,45.529999999999994,6.1,39.42999999999999
157,Jeremy Sprinkle,TE,27.0,2021,45.34199999999999,6.1,39.24199999999999
158,Jeremy Sprinkle,TE,27.0,2021,45.34199999999999,6.1,39.24199999999999
156,Jeremy Sprinkle,TE,27.0,2021,45.34199999999999,6.1,39.24199999999999
154,Jeremy Sprinkle,TE,27.0,2021,45.34199999999999,6.1,39.24199999999999
99,Pharaoh Brown,TE,27.0,2021,45.31900000000002,38.1,7.219000000000015
37,Albert Okwuegbunam,TE,23.0,2021,42.70699999999997,76.0,-33.29300000000003
153,Dominique Dafney,TE,24.0,2021,42.69699999999995,5.4,37.296999999999954
150,Dominique Dafney,TE,24.0,2021,42.69699999999995,5.4,37.296999999999954
65,Adam Trautman,TE,24.0,2021,42.672580645161275,63.3,-20.62741935483872
85,Marcedes Lewis,TE,37.0,2021,41.68599999999995,44.4,-2.7140000000000484
76,Zach Gentry,TE,25.0,2021,41.312999999999995,35.7,5.612999999999992
178,Luke Stocker,TE,33.0,2021,41.264500000000005,3.2,38.0645
135,Charlie Woerner,TE,24.0,2021,41.09700000000001,10.2,30.89700000000001
122,Eric Saubert,TE,27.0,2021,40.72299999999995,18.7,22.02299999999995
98,Pharaoh Brown,TE,27.0,2021,40.40400000000002,38.1,2.3040000000000163
80,Tyler Kroft,TE,29.0,2021,40.13268,39.3,0.8326800000000034
90,Ian Thomas,TE,25.0,2021,39.258446109385986,36.8,2.4584461093859886
42,Donald Parham,TE,24.0,2021,38.770705345258655,59.0,-20.229294654741345
151,Dominique Dafney,TE,24.0,2021,38.70649999999998,5.4,33.30649999999998
81,Tyler Kroft,TE,29.0,2021,38.44837411764704,39.3,-0.8516258823529554
86,Marcedes Lewis,TE,37.0,2021,38.363999999999976,44.4,-6.036000000000023
173,Johnny Mundt,TE,27.0,2021,37.79766666666667,1.9,35.89766666666667
47,Geoff Swaim,TE,28.0,2021,36.81900000000001,70.0,-33.18099999999999
117,Ross Dwelley,TE,26.0,2021,36.29608996212122,15.1,21.19608996212122
120,Ross Dwelley,TE,26.0,2021,36.29608996212122,15.1,21.19608996212122
114,Jesse James,TE,27.0,2021,35.298243902439026,19.2,16.098243902439027
119,Ross Dwelley,TE,26.0,2021,34.70699999999999,15.1,19.606999999999985
175,Richard Rodgers,TE,29.0,2021,34.364,3.1,31.263999999999996
121,Eric Saubert,TE,27.0,2021,34.12649999999998,18.7,15.42649999999998
123,Blake Bell,TE,30.0,2021,33.84434062732932,18.7,15.144340627329324
115,Jesse James,TE,27.0,2021,32.10556822742474,19.2,12.905568227424741
53,Ryan Griffin,TE,31.0,2021,31.979999999999976,65.1,-33.12000000000002
22,C.J. Uzomah,TE,28.0,2021,31.94657022949531,128.3,-96.3534297705047
24,Tyler Conklin,TE,26.0,2021,31.693000000000037,138.3,-106.60699999999997
124,Blake Bell,TE,30.0,2021,31.449253246753234,18.7,12.749253246753234
94,Jordan Akins,TE,29.0,2021,30.847200000000008,41.7,-10.852799999999995
197,Deon Yelder,TE,26.0,2021,30.512499999999996,1.0,29.512499999999996
125,Adam Shaheen,TE,27.0,2021,30.173999999999992,23.0,7.173999999999992
57,Josiah Deguara,TE,24.0,2021,28.818500000000018,61.5,-32.681499999999986
66,MyCole Pruitt,TE,29.0,2021,28.699000000000023,48.5,-19.800999999999977
192,Darrell Daniels,TE,27.0,2021,27.629999999999992,1.0,26.629999999999992
177,Richard Rodgers,TE,29.0,2021,27.540000000000013,3.1,24.440000000000012
176,Richard Rodgers,TE,29.0,2021,27.540000000000013,3.1,24.440000000000012
48,Geoff Swaim,TE,28.0,2021,26.93155952380952,70.0,-43.06844047619048
46,Geoff Swaim,TE,28.0,2021,26.93155952380952,70.0,-43.06844047619048
130,Josh Oliver,TE,24.0,2021,26.767999999999994,15.6,11.167999999999994
133,Josh Oliver,TE,24.0,2021,25.82789999999998,15.6,10.227899999999979
77,Zach Gentry,TE,25.0,2021,25.04100000000002,35.7,-10.658999999999981
147,Colby Parkinson,TE,22.0,2021,24.664999999999996,8.3,16.364999999999995
58,Josiah Deguara,TE,24.0,2021,24.054999999999996,61.5,-37.44500000000001
195,Deon Yelder,TE,26.0,2021,22.582000000000015,1.0,21.582000000000015
131,Josh Oliver,TE,24.0,2021,21.326999999999988,15.6,5.726999999999988
134,Josh Oliver,TE,24.0,2021,21.326999999999988,15.6,5.726999999999988
132,Josh Oliver,TE,24.0,2021,21.115849999999988,15.6,5.515849999999988
128,Tommy Sweeney,TE,26.0,2021,19.983083333333333,19.4,0.5830833333333345
129,Tommy Sweeney,TE,26.0,2021,19.983083333333333,19.4,0.5830833333333345
148,Trevon Wesco,TE,26.0,2021,19.721999999999998,6.5,13.221999999999998
144,Colby Parkinson,TE,22.0,2021,19.675999999999984,8.3,11.375999999999983
52,Ryan Griffin,TE,31.0,2021,19.249000000000002,65.1,-45.85099999999999
100,Jesper Horsted,TE,24.0,2021,18.617000000000004,16.1,2.517000000000003
103,Jesper Horsted,TE,24.0,2021,18.617000000000004,16.1,2.517000000000003
102,Jesper Horsted,TE,24.0,2021,18.617000000000004,16.1,2.517000000000003
101,Jesper Horsted,TE,24.0,2021,18.617000000000004,16.1,2.517000000000003
146,Colby Parkinson,TE,22.0,2021,18.409138870145448,8.3,10.109138870145447
145,Colby Parkinson,TE,22.0,2021,18.409138870145448,8.3,10.109138870145447
143,Colby Parkinson,TE,22.0,2021,18.409138870145448,8.3,10.109138870145447
199,Deon Yelder,TE,26.0,2021,18.008999999999993,1.0,17.008999999999993
198,Deon Yelder,TE,26.0,2021,18.008999999999993,1.0,17.008999999999993
196,Deon Yelder,TE,26.0,2021,18.008999999999993,1.0,17.008999999999993
152,Dominique Dafney,TE,24.0,2021,17.82600000000002,5.4,12.426000000000018
149,Trevon Wesco,TE,26.0,2021,17.519999999999996,6.5,11.019999999999996
191,Darrell Daniels,TE,27.0,2021,14.291000000000004,1.0,13.291000000000004
193,Darrell Daniels,TE,27.0,2021,14.291000000000004,1.0,13.291000000000004
194,Darrell Daniels,TE,27.0,2021,14.291000000000004,1.0,13.291000000000004
190,Darrell Daniels,TE,27.0,2021,13.633000000000017,1.0,12.633000000000017
161,Cethan Carter,TE,26.0,2021,13.38399999999999,3.6,9.78399999999999
160,Cethan Carter,TE,26.0,2021,12.558933333333332,3.6,8.958933333333333
41,Juwan Johnson,TE,25.0,2021,10.991999999999994,52.9,-41.908
116,Antony Auclair,TE,28.0,2021,9.415999999999999,15.7,-6.284000000000001
